Project Organization,Project Organization Name,GL Project Organization Number,Project Owning Department,Project Owning Division,Project Owning Unit,Project Owning Unit Code
SM.Hem Prostate Program 63963,SM.Hem Prostate Program,63963,Medicine,Hematology & Medical Oncology,School of Medicine,SOM
SM.OCSSB-Cepheid 69440,SM.OCSSB-Cepheid,69440,OCSSB,,School of Medicine,SOM
SM.PA AP Disc Gultekin 65432,SM.PA AP Disc Gultekin,65432,Pathology,Anatomical Pathology,School of Medicine,SOM
SM.Pa Ap Gnt 73 65473,SM.Pa Ap Gnt 73,65473,Pathology,Anatomical Pathology,School of Medicine,SOM
SN.Grants - EOU 58229,SN.Grants - EOU,58229,La Grande Campus,,School of Nursing,SON
AA.Academic Affairs 83001,AA.Academic Affairs,83001,Academic Affairs,,Provost,PROV
PC.Contingency 43190,PC.Contingency,43190,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
VI.Non-Vollum Faculty 45601,VI.Non-Vollum Faculty,45601,Vollum Institute,,Vice President for Research,VPR
CD.Hemophilia-Child 42216,CD.Hemophilia-Child,42216,Institute on Development & Disability,,School of Medicine,SOM
SN.Academic Programs-PDX Campus (Pop. Based Nurs. Dept) 58413,SN.Academic Programs-PDX Campus (Pop. Based Nurs. Dept),58413,Population-Based Nursing,,School of Nursing,SON
SS.JBT Health & Wellness Ctr 84501,SS.JBT Health & Wellness Ctr,84501,Student Services,,Provost,PROV
NS.PI Adamus 47201,NS.PI Adamus,47201,Neurological Sciences Institute,,Vice President for Research,VPR
SM.OPP Urology 67101,SM.OPP Urology,67101,Urology,,School of Medicine,SOM
SM.Knight Biolibrary 68131,SM.Knight Biolibrary,68131,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.PA AP Disc Dunlap 65472,SM.PA AP Disc Dunlap,65472,Pathology,Anatomical Pathology,School of Medicine,SOM
SD.Prosthodontics 54151,SD.Prosthodontics,54151,Administration (SOD),,School of Dentistry,SOD
FO.FM Grounds Maintenance 89208,FO.FM Grounds Maintenance,89208,Facilities,Grounds Maintenance,Administration,ADMIN
PR.Technology Transfer & Business Development 82551,PR.Technology Transfer & Business Development,82551,Research Development and Administration,Technology Transfer & Business Development,Vice President for Research,VPR
SM.Dean's Research 67020,SM.Dean's Research,67020,Administration (SOM),,School of Medicine,SOM
SM.ACI Administration 63910,SM.ACI Administration,63910,Medicine,Allergy & Clinical Immunology,School of Medicine,SOM
SM.CAR Fellowship/Fellows/Education 63927,SM.CAR Fellowship/Fellows/Education,63927,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SM.Path Faculty Disc/Prog 65422,SM.Path Faculty Disc/Prog,65422,Pathology,,School of Medicine,SOM
PC.Neurosciences 43600,PC.Neurosciences,43600,Oregon National Primate Research Center,Neuroscience,Vice President for Research,VPR
HC.Outside Medical Service 38401,HC.Outside Medical Service,38401,Hospital Administration,,OHSU Hospital,HOSP
NS.PI Taylor 47229,NS.PI Taylor,47229,Neurological Sciences Institute,,Vice President for Research,VPR
SM.IDD Eugene Office 42381,SM.IDD Eugene Office,42381,Institute on Development & Disability,,School of Medicine,SOM
SM.CDBIO Admin 60901,SM.CDBIO Admin,60901,"Cell, Developmental & Cancer Biology",,School of Medicine,SOM
SM.Pblc Hlth Admin 66301,SM.Pblc Hlth Admin,66301,Public Health & Preventive Medicine,,School of Medicine,SOM
SM.Behavioral Neuroscience Admin 60601,SM.Behavioral Neuroscience Admin,60601,Behavioral Neuroscience,,School of Medicine,SOM
SE.Environmental and Biomolecular Systems 56310,SE.Environmental and Biomolecular Systems,56310,Environmental & Biomolecular Systems,,Oregon Graduate Institute,OGI
RH.Rural Health Directors Office 25110,RH.Rural Health Directors Office,25110,Rural Health,,Provost,PROV
SM.Neu Multiple Sclerosis 64250,SM.Neu Multiple Sclerosis,64250,Neurology,Multiple Sclerosis,School of Medicine,SOM
SM.Neu ORCCAMIND/EEG 64266,SM.Neu ORCCAMIND/EEG,64266,Neurology,Neurophysiology EEG,School of Medicine,SOM
SM.Medical Informatics & Clinical Epidemiology 63801,SM.Medical Informatics & Clinical Epidemiology,63801,Medical Informatics & Clinical Epidemiology,,School of Medicine,SOM
SM.DSE Environmental & Biomolecular Systems 69420,SM.DSE Environmental & Biomolecular Systems,69420,Institute of Environmental Health,DSE Environmental & Biomolecular Systems,Provost,PROV
PC.Neuro Division 43130,PC.Neuro Division,43130,Oregon National Primate Research Center,Neuroscience,Vice President for Research,VPR
RS.VP RSCH ADMIN 85001,RS.VP RSCH ADMIN,85001,Research Development and Administration,VP Research,Vice President for Research,VPR
PC.Repro Division 43120,PC.Repro Division,43120,Oregon National Primate Research Center,Reproductive Sciences,Vice President for Research,VPR
SM.Surg General 66903,SM.Surg General,66903,Surgery,General Surgery,School of Medicine,SOM
PC.Aged Primates 43237,PC.Aged Primates,43237,Oregon National Primate Research Center,Division of Comparative Medicine,Vice President for Research,VPR
VI.Brehm 45538,VI.Brehm,45538,Vollum Institute,,Vice President for Research,VPR
SM.Pa Ap Gnt 71 65471,SM.Pa Ap Gnt 71,65471,Pathology,Anatomical Pathology,School of Medicine,SOM
SM.Pediatric Nephrology 65714,SM.Pediatric Nephrology,65714,Pediatrics,Pediatric Nephrology,School of Medicine,SOM
SM.Surg Vascular 66911,SM.Surg Vascular,66911,Surgery,Vascular Surgery,School of Medicine,SOM
SM.Computational Biology Program 69520,SM.Computational Biology Program,69520,Computational Biology,,School of Medicine,SOM
SD.Biomaterials And Biomechanics 54131,SD.Biomaterials And Biomechanics,54131,Administration (SOD),,School of Dentistry,SOD
SM.Gray-Quantitative Imaging 69444,SM.Gray-Quantitative Imaging,69444,OCSSB,,School of Medicine,SOM
SM.Pediatric Gastro 65707,SM.Pediatric Gastro,65707,Pediatrics,Pediatric Gastroenterology,School of Medicine,SOM
SM.NEU Jungers Center 64211,SM.NEU Jungers Center,64211,Neurology,Jungers Center,School of Medicine,SOM
SM.OCSSB-Nan 69436,SM.OCSSB-Nan,69436,OCSSB,,School of Medicine,SOM
SM.Neu General Research 64210,SM.Neu General Research,64210,Neurology,,School of Medicine,SOM
SM.Ophth Retina 64820,SM.Ophth Retina,64820,Ophthalmology,,School of Medicine,SOM
PC.Obese NHP Resources 43459,PC.Obese NHP Resources,43459,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
PC.Research CRU 43750,PC.Research CRU,43750,Oregon National Primate Research Center,Collaborative Research Unit,Vice President for Research,VPR
SE.CSE Pacific Software Research Center 56120,SE.CSE Pacific Software Research Center,56120,Computer Science & Electrical Engineering,Pacific Software Research Center,Oregon Graduate Institute,OGI
PC.Repro Venture 43121,PC.Repro Venture,43121,Oregon National Primate Research Center,Reproductive Sciences,Vice President for Research,VPR
VI.Freeman 45544,VI.Freeman,45544,Vollum Institute,,Vice President for Research,VPR
SM.Psychiatry BHC 66005,SM.Psychiatry BHC,66005,Psychiatry,,School of Medicine,SOM
SE.CSE Database and Object Technology 56125,SE.CSE Database and Object Technology,56125,Computer Science & Electrical Engineering,Database & Object Technology Lab,Oregon Graduate Institute,OGI
SM.Dean Administration 67002,SM.Dean Administration,67002,Administration (SOM),,School of Medicine,SOM
VI.Rap 45310,VI.Rap,45310,Vollum Institute,,Vice President for Research,VPR
SM.Knight GT Research 68113,SM.Knight GT Research,68113,OHSU Knight Cancer Institute,,School of Medicine,SOM
BI.Admin Grants 23199,BI.Admin Grants,23199,Library,,Provost,PROV
FO.Facilities Grant Funded Capital 89498,FO.Facilities Grant Funded Capital,89498,Facilities,,Administration,ADMIN
RS.Comparative Medicine Support 85103,RS.Comparative Medicine Support,85103,Research Development and Administration,Comparative Medicine,Vice President for Research,VPR
VI.Vollum Institute 45102,VI.Vollum Institute,45102,Vollum Institute,,Vice President for Research,VPR
SM.Laryngology Division 65160,SM.Laryngology Division,65160,Otolaryngology & Head/Neck Surgery,,School of Medicine,SOM
SD.Endodontology 54191,SD.Endodontology,54191,Administration (SOD),,School of Dentistry,SOD
HC.Emergency Communication Center 37127,HC.Emergency Communication Center,37127,Oregon Poison Control Center,,OHSU Hospital,HOSP
CD.Portland Project Publications 42385,CD.Portland Project Publications,42385,Institute on Development & Disability,,School of Medicine,SOM
SM.Pblc Hlth MPH 66302,SM.Pblc Hlth MPH,66302,Public Health & Preventive Medicine,,School of Medicine,SOM
VI.Mao 45540,VI.Mao,45540,Vollum Institute,,Vice President for Research,VPR
IG.Integrated Genomics 48701,IG.Integrated Genomics,48701,OHSU Knight Cancer Institute,,School of Medicine,SOM
SN.K Falls Clinical Skills Lab 58301,SN.K Falls Clinical Skills Lab,58301,Klamath Falls Campus,,School of Nursing,SON
SM.Fam Med AHEC 63604,SM.Fam Med AHEC,63604,Family Medicine,,School of Medicine,SOM
FO.Facilities Management Admin 89201,FO.Facilities Management Admin,89201,Facilities,,Administration,ADMIN
SM.PA Path Research Nixon 65440,SM.PA Path Research Nixon,65440,Pathology,,School of Medicine,SOM
SM.Molec & Medical Genetics 61201,SM.Molec & Medical Genetics,61201,Molecular & Medical Genetics,,School of Medicine,SOM
AA.Academic Affairs Gifts 83997,AA.Academic Affairs Gifts,83997,Academic Affairs,,Provost,PROV
PC.Directors Office 43102,PC.Directors Office,43102,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
SM.OB/GYN Research Administration 64507,SM.OB/GYN Research Administration,64507,Obstetrics & Gynecology,,School of Medicine,SOM
SM.Pediatric Cardio 65704,SM.Pediatric Cardio,65704,Pediatrics,Pediatric Cardiology,School of Medicine,SOM
SM.Fam Med Department Admin 63601,SM.Fam Med Department Admin,63601,Family Medicine,,School of Medicine,SOM
SM.Ophth Admin 64801,SM.Ophth Admin,64801,Ophthalmology,,School of Medicine,SOM
PC.Patho Division 43140,PC.Patho Division,43140,Oregon National Primate Research Center,Pathobiology,Vice President for Research,VPR
SM.CAR Non-Invasive 63932,SM.CAR Non-Invasive,63932,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SM.Dotter Inst General 63012,SM.Dotter Inst General,63012,Dotter Institute,,School of Medicine,SOM
SM.Clinical Psychology 66014,SM.Clinical Psychology,66014,Psychiatry,,School of Medicine,SOM
SM.HSM Administration 63990,SM.HSM Administration,63990,Medicine,Health Prom & Sports Medicine,School of Medicine,SOM
SM.MMG Knight Collaboration 61203,SM.MMG Knight Collaboration,61203,Molecular & Medical Genetics,,School of Medicine,SOM
SM.Psyc Child 66002,SM.Psyc Child,66002,Psychiatry,,School of Medicine,SOM
SM.Pediatric Neocc 65713,SM.Pediatric Neocc,65713,Pediatrics,Pediatric Neonatology,School of Medicine,SOM
SM.Phys and Pharm 61802,SM.Phys and Pharm,61802,Physiology & Pharmacology,,School of Medicine,SOM
PC.Imaging and Morph Svs 43452,PC.Imaging and Morph Svs,43452,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
VI.Westbrook 45522,VI.Westbrook,45522,Vollum Institute,,Vice President for Research,VPR
PC.Neuro Venture 43131,PC.Neuro Venture,43131,Oregon National Primate Research Center,Neuroscience,Vice President for Research,VPR
VI.Baconguis 45541,VI.Baconguis,45541,Vollum Institute,,Vice President for Research,VPR
VI.Williams 45523,VI.Williams,45523,Vollum Institute,,Vice President for Research,VPR
PC.Business Admin 43105,PC.Business Admin,43105,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
SM.PMCB 67010,SM.PMCB,67010,Administration (SOM),,School of Medicine,SOM
CC.PRJ Dental Health/Russell St. Clinic 22011,CC.PRJ Dental Health/Russell St. Clinic,22011,Administration (SOD),,School of Dentistry,SOD
VI.Barklis 45503,VI.Barklis,45503,Vollum Institute,,Vice President for Research,VPR
PC.Alt and Ren ONPRC Core 43198,PC.Alt and Ren ONPRC Core,43198,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
SM.Pa Lm Gnt 84 65484,SM.Pa Lm Gnt 84,65484,Pathology,Laboratory Medicine,School of Medicine,SOM
VI.Stork 45520,VI.Stork,45520,Vollum Institute,,Vice President for Research,VPR
SM.Graduate Studies 67008,SM.Graduate Studies,67008,Administration (SOM),,School of Medicine,SOM
SM.PA LM Disc Kazmierczak 65454,SM.PA LM Disc Kazmierczak,65454,Pathology,Laboratory Medicine,School of Medicine,SOM
SM.Program Development 65726,SM.Program Development,65726,Pediatrics,Pediatric Neurology,School of Medicine,SOM
PC.Constr ONPRC Core 43199,PC.Constr ONPRC Core,43199,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
SM.Pediatric Neurology 65715,SM.Pediatric Neurology,65715,Pediatrics,Pediatric Neurology,School of Medicine,SOM
SM.Head & Neck Surgery Division 65120,SM.Head & Neck Surgery Division,65120,Otolaryngology & Head/Neck Surgery,,School of Medicine,SOM
NS.PI Roberts 47218,NS.PI Roberts,47218,Neurological Sciences Institute,,Vice President for Research,VPR
VI.Amara 45502,VI.Amara,45502,Vollum Institute,,Vice President for Research,VPR
SM.Surg Plastic 66907,SM.Surg Plastic,66907,Surgery,Plastic Surgery,School of Medicine,SOM
PC.Patho Virology Svcs 43461,PC.Patho Virology Svcs,43461,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
SM.IDD Director's Office 42312,SM.IDD Director's Office,42312,Institute on Development & Disability,,School of Medicine,SOM
NS.PI Duvoisin 47226,NS.PI Duvoisin,47226,Neurological Sciences Institute,,Vice President for Research,VPR
SM.SURG Pediatric Surgery 66906,SM.SURG Pediatric Surgery,66906,Surgery,Pediatric Surgery,School of Medicine,SOM
SM.Surg Cardiothoracic 66914,SM.Surg Cardiothoracic,66914,Surgery,Cardiothoracic Surgery,School of Medicine,SOM
SM.IDD Developmental Peds 42251,SM.IDD Developmental Peds,42251,Institute on Development & Disability,,School of Medicine,SOM
SM.OB/GYN Urogynecology Division 64505,SM.OB/GYN Urogynecology Division,64505,Obstetrics & Gynecology,,School of Medicine,SOM
SM.Fellow Training 65722,SM.Fellow Training,65722,Pediatrics,,School of Medicine,SOM
SN.Campus Administration - SOU 58501,SN.Campus Administration - SOU,58501,Administration (SON),,School of Nursing,SON
SM.PA AP Keleman 65436,SM.PA AP Keleman,65436,Pathology,Laboratory Medicine,School of Medicine,SOM
SM.CDB Discovery Engine 60903,SM.CDB Discovery Engine,60903,"Cell, Developmental & Cancer Biology",,School of Medicine,SOM
SE.School Of Science & Engineering Dean 56810,SE.School Of Science & Engineering Dean,56810,,,Oregon Graduate Institute,OGI
VI.Faculty Expense 45105,VI.Faculty Expense,45105,Vollum Institute,,Vice President for Research,VPR
CD.OUTREACH WORKSHOPS 42387,CD.OUTREACH WORKSHOPS,42387,Institute on Development & Disability,,School of Medicine,SOM
SM.IDD Special Education 42260,SM.IDD Special Education,42260,Institute on Development & Disability,,School of Medicine,SOM
CD.CDRC Discretionary 42511,CD.CDRC Discretionary,42511,Institute on Development & Disability,,School of Medicine,SOM
SM.Ophth Pediatrics 64818,SM.Ophth Pediatrics,64818,Ophthalmology,Pediatric Ophthalmology,School of Medicine,SOM
VI.Monk 45545,VI.Monk,45545,Vollum Institute,,Vice President for Research,VPR
SM.Evidence Practice Center 66391,SM.Evidence Practice Center,66391,Center for Evidence Based Policy,,School of Medicine,SOM
HC.OHSU Family Medicine at Richmond 31402,HC.OHSU Family Medicine at Richmond,31402,Family Medicine (HOSP),,OHSU Hospital,HOSP
SE.CSE Computer Engineering 56140,SE.CSE Computer Engineering,56140,Computer Science & Electrical Engineering,Computer Engineering,Oregon Graduate Institute,OGI
SM.Image Guided Radiation Therapy (IGRT) 66602,SM.Image Guided Radiation Therapy (IGRT),66602,Radiation Oncology,Radiation Oncology,School of Medicine,SOM
NS.PI Reddy 47220,NS.PI Reddy,47220,Neurological Sciences Institute,,Vice President for Research,VPR
AA.Oregon Geriatric Education Center 83206,AA.Oregon Geriatric Education Center,83206,Academic Affairs,,Provost,PROV
SM.NEP Clinical Trials 63977,SM.NEP Clinical Trials,63977,Medicine,Nephrology & Hypertension,School of Medicine,SOM
AA.On Track OHSU 83107,AA.On Track OHSU,83107,Academic Affairs,,Provost,PROV
SM.CDBIO Sundry 60902,SM.CDBIO Sundry,60902,"Cell, Developmental & Cancer Biology",,School of Medicine,SOM
SE.Mgt Health Care & Bioscience 56515,SE.Mgt Health Care & Bioscience,56515,Management in Science and Technology,,Oregon Graduate Institute,OGI
HC.Magnet Nursing Excellence Program 38317,HC.Magnet Nursing Excellence Program,38317,Hospital Administration,,OHSU Hospital,HOSP
SM.Pediatric Hospital Medicine 65710,SM.Pediatric Hospital Medicine,65710,Pediatrics,Pediatric Hospital Medicine,School of Medicine,SOM
IT.Immunization Info System 88999,IT.Immunization Info System,88999,Legal,ITG,Administration,ADMIN
HC.Hospital Incident Command Projects 38991,HC.Hospital Incident Command Projects,38991,Hospital Administration,,OHSU Hospital,HOSP
SM.Dean CME 67001,SM.Dean CME,67001,Administration (SOM),,School of Medicine,SOM
SM.Pediatric Infdis 65711,SM.Pediatric Infdis,65711,Pediatrics,Pediatric Infectious Disease,School of Medicine,SOM
SM.Pediatric Endo 65706,SM.Pediatric Endo,65706,Pediatrics,Pediatric Endocrinology,School of Medicine,SOM
"SM.Leukemia Section, Hematology 63959","SM.Leukemia Section, Hematology",63959,Medicine,Hematology & Medical Oncology,School of Medicine,SOM
SM.Otol Research 65197,SM.Otol Research,65197,Otolaryngology & Head/Neck Surgery,,School of Medicine,SOM
PC.Repro Projects 43122,PC.Repro Projects,43122,Oregon National Primate Research Center,Reproductive Sciences,Vice President for Research,VPR
PC.Patho Projects 43142,PC.Patho Projects,43142,Oregon National Primate Research Center,Pathobiology,Vice President for Research,VPR
SM.Knight Cure Program 68117,SM.Knight Cure Program,68117,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.OB/GYN Perinatology Division 64504,SM.OB/GYN Perinatology Division,64504,Obstetrics & Gynecology,,School of Medicine,SOM
SM.Orthopedics 64401,SM.Orthopedics,64401,Orthopedics & Rehabilitation,,School of Medicine,SOM
SM.PUL Administration 63982,SM.PUL Administration,63982,Medicine,Pulmonary & Critical Care Medicine,School of Medicine,SOM
SM.Surg Urology 66910,SM.Surg Urology,66910,Urology,,School of Medicine,SOM
PC.Research Patho 43710,PC.Research Patho,43710,Oregon National Primate Research Center,Pathobiology,Vice President for Research,VPR
SM.Surg Dept of Surg 66902,SM.Surg Dept of Surg,66902,Surgery,,School of Medicine,SOM
SN.Center for Healthy Aging 58001,SN.Center for Healthy Aging,58001,Center for Healthy Aging,,School of Nursing,SON
PC.Library 43455,PC.Library,43455,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
SD.Research Admin 54512,SD.Research Admin,54512,Administration (SOD),,School of Dentistry,SOD
SM.Knight Cancer Institute 68111,SM.Knight Cancer Institute,68111,OHSU Knight Cancer Institute,,School of Medicine,SOM
VI.Mccleskey 45515,VI.Mccleskey,45515,Vollum Institute,,Vice President for Research,VPR
VI.Musil 45516,VI.Musil,45516,Vollum Institute,,Vice President for Research,VPR
SN.PhD Program 58417,SN.PhD Program,58417,Population-Based Nursing,Gerontological Nursing,School of Nursing,SON
SM.END Professional Development 63938,SM.END Professional Development,63938,Medicine,Endo/Diab/Clin Nutrition,School of Medicine,SOM
SM.Pediatric Research 65717,SM.Pediatric Research,65717,Pediatrics,,School of Medicine,SOM
SM.KCVI Research 68332,SM.KCVI Research,68332,OHSU Knight Cardiovascular Institute,,School of Medicine,SOM
SM.OB/GYN Generalist Division 64502,SM.OB/GYN Generalist Division,64502,Obstetrics & Gynecology,,School of Medicine,SOM
SM.Neurosurgery Research 64322,SM.Neurosurgery Research,64322,Neurological Surgery,,School of Medicine,SOM
SM.Emergency Medicine 63302,SM.Emergency Medicine,63302,Emergency Medicine,,School of Medicine,SOM
PC.Immunology 43456,PC.Immunology,43456,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
SM.OTOL VA Research 65196,SM.OTOL VA Research,65196,Otolaryngology & Head/Neck Surgery,,School of Medicine,SOM
ST.Stem Cell Center Admin 48201,ST.Stem Cell Center Admin,48201,Stem Cell Center,,Vice President for Research,VPR
SM.BME ADSYL 69432,SM.BME ADSYL,69432,Science & Engineering (old),BME (DIS 01/12),School of Medicine,SOM
VI.Adelman 45501,VI.Adelman,45501,Vollum Institute,,Vice President for Research,VPR
SD.Community Dentistry 54171,SD.Community Dentistry,54171,Administration (SOD),,School of Dentistry,SOD
SM.PA Disc Hooper 65475,SM.PA Disc Hooper,65475,Pathology,Anatomical Pathology,School of Medicine,SOM
OR.Oregon Rural Practice Research Network 48601,OR.Oregon Rural Practice Research Network,48601,Oregon Rural Practice-based Research Network,,Vice President for Research,VPR
SM.Knight Comm Onc Clin Trials 68105,SM.Knight Comm Onc Clin Trials,68105,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.Institutional Training Grants 67031,SM.Institutional Training Grants,67031,Administration (SOM),,School of Medicine,SOM
SM.IDD CSLU 42601,SM.IDD CSLU,42601,Institute on Development & Disability,,School of Medicine,SOM
SM.NEU EMG 64268,SM.NEU EMG,64268,Neurology,Neurophysiology EMG,School of Medicine,SOM
SM.Sinus/Allergy Division 65140,SM.Sinus/Allergy Division,65140,Otolaryngology & Head/Neck Surgery,,School of Medicine,SOM
RS.Tech Trans-Licensing 85012,RS.Tech Trans-Licensing,85012,Research Development and Administration,Technology Transfer & Business Development,Vice President for Research,VPR
VI.Thomas 45521,VI.Thomas,45521,Vollum Institute,,Vice President for Research,VPR
SM.PA AP Disc/Rudzinski 65451,SM.PA AP Disc/Rudzinski,65451,Pathology,Laboratory Medicine,School of Medicine,SOM
SE.Computer Science & Engineering 56110,SE.Computer Science & Engineering,56110,Computer Science & Electrical Engineering,,Oregon Graduate Institute,OGI
RS.Clinical Trials Office 85011,RS.Clinical Trials Office,85011,Oregon Clinical and Translational Research Institute,,Vice President for Research,VPR
SM.OB/GYN Outreach 68501,SM.OB/GYN Outreach,68501,Center for Womens Health,,School of Medicine,SOM
PC.Mol and Cell Bio Svs Neuro 43653,PC.Mol and Cell Bio Svs Neuro,43653,Oregon National Primate Research Center,Neuroscience,Vice President for Research,VPR
HC.HRSA Funds 38801,HC.HRSA Funds,38801,Hospital Administration,,OHSU Hospital,HOSP
"SM.OTU,Hematology & Med. Onc. 63960","SM.OTU,Hematology & Med. Onc.",63960,Medicine,Hematology & Medical Oncology,School of Medicine,SOM
GT.Center for Embryonic Cell & Gene Therapy 48421,GT.Center for Embryonic Cell & Gene Therapy,48421,Center for Embryonic Cell & Gene Therapy,,Vice President for Research,VPR
SD.Dental Research & Development - Admin 54141,SD.Dental Research & Development - Admin,54141,Administration (SOD),,School of Dentistry,SOD
PC.Metabolic Diseases Division 43160,PC.Metabolic Diseases Division,43160,Oregon National Primate Research Center,Metabolic,Vice President for Research,VPR
PC.Patho Venture 43141,PC.Patho Venture,43141,Oregon National Primate Research Center,Pathobiology,Vice President for Research,VPR
VI.Other Dept Admin 45106,VI.Other Dept Admin,45106,Vollum Institute,,Vice President for Research,VPR
HC.Inpatient Pharmacy 32402,HC.Inpatient Pharmacy,32402,Pharmacy,,OHSU Hospital,HOSP
SM.Hem Clinical Trials 63961,SM.Hem Clinical Trials,63961,Medicine,Hematology & Medical Oncology,School of Medicine,SOM
SM.NEP Research 63979,SM.NEP Research,63979,Medicine,Nephrology & Hypertension,School of Medicine,SOM
SM.OB/GYN Excellence 68502,SM.OB/GYN Excellence,68502,Center for Womens Health,,School of Medicine,SOM
VI.Spec Projects Research 45603,VI.Spec Projects Research,45603,Vollum Institute,,Vice President for Research,VPR
SM.Path Laboratory Med 65412,SM.Path Laboratory Med,65412,Pathology,Laboratory Medicine,School of Medicine,SOM
SM.Knight Corless Res 68149,SM.Knight Corless Res,68149,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.Department of Pediatrics 65724,SM.Department of Pediatrics,65724,Pediatrics,,School of Medicine,SOM
SM.OCSSB-Galbraith 69437,SM.OCSSB-Galbraith,69437,OCSSB,,School of Medicine,SOM
PC.Clinical Med 43232,PC.Clinical Med,43232,Oregon National Primate Research Center,Clinical Medicine,Vice President for Research,VPR
PC.Mass Spectometry Services 43457,PC.Mass Spectometry Services,43457,Oregon National Primate Research Center,Research Services,Vice President for Research,VPR
SM.Moore Institute 68701,SM.Moore Institute,68701,Moore Institute,,School of Medicine,SOM
SE.Management In Science & Technology 56510,SE.Management In Science & Technology,56510,Management in Science and Technology,,Oregon Graduate Institute,OGI
NS.PI Frerking 47224,NS.PI Frerking,47224,Neurological Sciences Institute,,Vice President for Research,VPR
SM.Pape Research Inst 65731,SM.Pape Research Inst,65731,Pediatrics,,School of Medicine,SOM
SM.Knight Hem/Onc Start Up 68153,SM.Knight Hem/Onc Start Up,68153,OHSU Knight Cancer Institute,,School of Medicine,SOM
SD.Integrative Biosciences 54101,SD.Integrative Biosciences,54101,Administration (SOD),,School of Dentistry,SOD
NS.PI Horak 47209,NS.PI Horak,47209,Neurological Sciences Institute,,Vice President for Research,VPR
PC.Non-Primate Op 43240,PC.Non-Primate Op,43240,Oregon National Primate Research Center,Division of Comparative Medicine,Vice President for Research,VPR
SM.Biomedical Engineering 69430,SM.Biomedical Engineering,69430,Biomedical Engineering Dept,,School of Medicine,SOM
PC.Primate Op 43210,PC.Primate Op,43210,Oregon National Primate Research Center,Division of Comparative Medicine,Vice President for Research,VPR
SM.Ophthal Uveitis 64803,SM.Ophthal Uveitis,64803,Ophthalmology,,School of Medicine,SOM
PC.Research Neuro 43610,PC.Research Neuro,43610,Oregon National Primate Research Center,Neuroscience,Vice President for Research,VPR
PC.Facilities 43113,PC.Facilities,43113,Oregon National Primate Research Center,Administration (ONPRC),Vice President for Research,VPR
SM.Anesthesiology-Research 62102,SM.Anesthesiology-Research,62102,Anesthesiology,,School of Medicine,SOM
SM.Pediatric Metab 65712,SM.Pediatric Metab,65712,Pediatrics,Pediatric Metabolics,School of Medicine,SOM
AI.Advanced Imaging Research Center 48101,AI.Advanced Imaging Research Center,48101,Advanced Imaging Research Center,,Vice President for Research,VPR
SM.Gray-OCSSB Support 69434,SM.Gray-OCSSB Support,69434,OCSSB,,School of Medicine,SOM
AA.Center for Ethics 83104,AA.Center for Ethics,83104,Academic Affairs,Center for Ethics,Provost,PROV
CR.Oregon Institute of Occupational Health Sciences 41201,CR.Oregon Institute of Occupational Health Sciences,41201,Oregon Institute of Occupational Health Sciences,,Vice President for Research,VPR
SM.Psyc Research 66008,SM.Psyc Research,66008,Psychiatry,,School of Medicine,SOM
SM.Knight Leukemia Center 68120,SM.Knight Leukemia Center,68120,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.Surg Trauma/Critical Care 66913,SM.Surg Trauma/Critical Care,66913,Surgery,Trauma/Critical Care,School of Medicine,SOM
SM.Knight Phase I Clinical Trials 68110,SM.Knight Phase I Clinical Trials,68110,OHSU Knight Cancer Institute,,School of Medicine,SOM
SM.Pediatric Pallative Care 65718,SM.Pediatric Pallative Care,65718,Pediatrics,,School of Medicine,SOM
SM.CSLU West Campus 69495,SM.CSLU West Campus,69495,Administration (SOM),,School of Medicine,SOM
HC.Partnership Project 36511,HC.Partnership Project,36511,Partnership Project,,OHSU Hospital,HOSP
EH.Institute of Environmental Health 48801,EH.Institute of Environmental Health,48801,Institute of Environmental Health,Environmental & Biomolecular Systems,Provost,PROV
NS.PI Eisner 47208,NS.PI Eisner,47208,Neurological Sciences Institute,,Vice President for Research,VPR
PH.Research 59106,PH.Research,59106,Public Health and Preventive Medicine,,School of Public Health,SPH
CT.OCTRI Biostatistics & Design Program 44003,CT.OCTRI Biostatistics & Design Program,44003,Oregon Clinical and Translational Research Institute,,Vice President for Research,VPR
SM.PA AP Morgan 65444,SM.PA AP Morgan,65444,Pathology,Anatomical Pathology,School of Medicine,SOM
