eCRIS Contract Nbr,Funding Source Id,Funding Source Name,Funding Source Type,Funding Source Nbr
,ID0000003722,"Gilead Colorado, Inc",Industry,AMB-323
,ID00004622,Department of defense,Other Federal,
,ID0000000428,MRF,OHSU,
,ID00000471,Unfunded,Other,
,ID00002184,Fight for Sight,Foundation,
,ID0000002837,Unfunded,,
,ID00002293,Novartis Pharma,Industry,SRA-08-92
,ID00005227,Unfunded,Other,
,ID0000002760,Program Project Grant,NIH,0073D4
,ID00008055,Hope Foundation,Foundation,
,ID00006135,Amylin Pharmaceuticals LLC,Industry,
DR00001340,ID00009473,"Astellas Pharma US, Inc (formerly Fujisawa Hlthcare, Inc.)",Industry,
,ID00002240,Incyte Corporation,Industry,
,IDM0001061,Kaiser Permanente,Medical Center/Hospital,HHSF223201000010I/ HHSF223 01008T       
DR00001443,IDM0002428,Pfizer Inc,Industry,
,ID0000003215,Berlex Pharmaceuticals,Industry,
,ID00004452,NIA,NIH,P30AG008017
,ID0000005075,Agency for Healthcare Research & Quality,Other Federal,AHRQ-02-0008
,ID00001757,N/A,Other,
,ID0000002743,"Astellas Pharma US, Inc.",Industry,04-0-206
,ID00000839,SEPRACOR INC.,Industry,Protocol 190-202
,ID0000002129,Research to Prevent Blindness,Foundation,
,ID00002725,none ,Other,
,ID0000002800,VA Research Foundation,Foundation,
,ID0000002597,Agency for Healthcare Quality and Research (AHRQ),Other Federal,1-UC1 HS-14928-01
,ID00005859,DHHS NIH Natl Cancer Inst,Federal,
,ID0000003085,MRF ECI Grant,Foundation,
,ID00000769,Corcept/ IRB billed a one time fee,Industry,
,ID00004912,Pfizer,Industry,
,ID0000003967,"DexCom, Inc.",Industry,
,ID00002377,"Pfizer, Inc.",Industry,
,ID00008086,Genentech Inc,Industry,
,IDM0000575,"DePuy Synthes Spine, Inc.",Industry,
,IDM0001472,Portland VA Rsch Fdn,Foundation,5 P01 HL048546-14
,ID00008204,DHHS NIH Natl Ctr for Rsch Resources,Federal,24140
,ID00011829,Children's Hospital of Philadelphia,Medical Center/Hospital,
,ID0000003054,Unfunded,,
,00001088,Unfunded,Other,
,00004168,Mesoblast International SARL,Industry,Fees Waived
,ID00012773,Univ. of Michigan,Academic Institution/Univ,
,IDM0000025,Biosense Webster Inc,Industry,
,IDM0000325,DHHS HRSA Maternal and Child Hlth Bureau,Federal,1 MMC26249 01-00
,ID00006325,Univ. of Washington,Academic Institution/Univ,WAA135
,ID00010825,Children's Hospital of Philadelphia,Medical Center/Hospital,
,IDM0000264,Avanir Pharmaceuticals Inc,Industry,
,ID00008082,BloodCenter of Wisconsin,Foundation,
,ID0000001341,sub award from the University of Minnesota ,NIH,
,ID00000797,Novartis,Industry,ERL080AUS40
,ID0000001794,National Eye Institute,NIH,EY014594
,ID00000451,unfunded,Other,
,ID0000001511,Unfunded,,
,ID0000004353,Unfunded,Other,
,ID0000001179,"Myogen, Inc",Industry,AMB 320-E
,ID00006798,Bio-Signal Group Corp,Industry,
,ID00012199,"Sigma Theta Tau International, Beta Psi Chapter",Foundation,
DR00002287,ID00004335,"W.L. Gore and Associates, Inc.",Industry,
DR00001622,ID00004335,"W.L. Gore and Associates, Inc.",Industry,
,ID00005432,NIH Common Fund,Federal,12345
,ID00009366,NIH Common Fund,Federal,
,ID0000000534,unfunded,,
,ID00002700,unfunded,Other,
,ID00004126,OSI Pharmaceuticals,Industry,
,ID00003145,Walter S. and Lucienne Driskill Foundation,Foundation,
,ID00003829,NIH Common Fund,Federal,NCCIH/NIH
,ID00009630,NIH Common Fund,Federal,R01 EY026572
,ID00005828,HEDCO Foundation,Foundation,
,ID00008350,Natl Multiple Sclerosis Society,Foundation,GNEUR0611A 
,ID00008826,DHHS NIH Natl Ctr for Advancing Translational Sciences,Federal,UL1TR002369
,ID00000029,DHHS NIH Natl Ctr for Advancing Translational Sciences,Federal,UL1 TR000128
,ID00005449,Alzheimer's Association,Foundation,
,ID0000001089,Lance Armstrong Foundation,Foundation,
DR00002769,ID00012073,Rigel Pharmaceuticals,Industry,
,00002150,Univ. of Utah,Academic Institution/Univ,
,00003009,medac GmbH,Industry,industry partner supplies drug only
,ID00003029,Oregon State Library,State Oregon,
,IDM0001403,DHHS CDCP,Federal,RFA-CE-10-003
,IDM0000178,Eisai Inc,Industry,
,00003120,Pfizer Inc,Industry,
,ID00003924,Pfizer Inc,Industry,A0081194
,IDM0001487,Anna Fuller Fund,Foundation,
,ID00011386,Boston Children's Hospital,Medical Center/Hospital,
,ID00012780,Univ. of Alabama at Birmingham,Academic Institution/Univ,
DR00001219,ID00001835,Eyegate Pharmaceuticals Inc,Industry,
,ID00006996,Brenden-Colson Center,Foundation,
,ID00012688,Brenden-Colson Center,Foundation,
,ID00011569,Wake Forest Univ. School of Medicine,Academic Institution/Univ,WFUHS 441051 ER-01
,ID0000003452,Alzheimer's Association,Foundation,
,ID00004467,"DHHS NIH Natl Heart, Lung, and Blood Inst",Federal,
,ID00006247,OHSU Fnd,Foundation,
,ID00009488,Gilead Sciences Inc,Industry,
DR00001316,ID00002737,CorMatrix Cardiovascular Inc,Industry,
,ID00008506,Case Western Reserve University,Academic Institution/Univ,
,ID0000000056,"DHHS NIH Natl Heart, Lung, and Blood Inst",Federal,RO1 HL68227
,ID00011070,"DHHS ACL Natl Inst on Disability, Independent Living & Rehabilitation Research",Federal,H133E140026
,ID00003981,Natl Childhood Cancer Fnd,Foundation,
,ID00005862,DHHS NIH NIDA,Federal,
,ID00004814,Jaeb Ctr for Hlth Rsch Inc,Foundation,U10 EY011751
DR00000241,IDM0000874,ARCA biopharma,Industry,
,ID0000005035,DHHS NIH Natl Ctr for Advancing Translational Sciences,Federal,
,ID00002360,DHHS NIH Natl Ctr for Advancing Translational Sciences,Federal,
,ID0000001309,Genzyme Corporation,Industry,
,ID00001894,Genzyme Corporation,Industry,
,ID00006615,Hoffmann-La Roche Inc,Industry,
,ID00000094,American Association of Nurse Anesthetists,Foundation,2015-F-1
,IDM0000320,Natl Childhood Cancer Fnd,Foundation,9003607
,ID00012143,Cystic Fibrosis Foundation Therapeutics Inc,Foundation,
,IDM0000326,Children's Oncology Group,Foundation,
,ID0000003150,"Health Research, Inc",Foundation,00000000013
,ID00000518,Novartis Pharmaceuticals Corporation,Industry,Clinical Trial Protocol CLBH589C2205
DR00001801,ID00004806,Medtronic Inc,Industry,
,ID00011546,Harvard Univ.,Academic Institution/Univ,
DR00001159,ID00001762,William Beaumont Hospital,Medical Center/Hospital,William Beaumont Hospital
,ID00008752,DHHS NIH Natl Ctr for Advancing Translational Sciences,Federal,UL1TR002369
,ID00004949,NIH Common Fund,Federal,
,ID00012149,D3 Biomedical Services Institute,Industry,
DR00002271,ID00010545,Amgen Inc,Industry,AALL1331
,IDM0000117,Amgen Inc,Industry,Industry
,IDM0002383,Methamphetamine Abuse Research Center (MARC),Academic Institution/Univ,
,ID0000000922,DHHS National Institutes of Health,Federal,
,ID00006533,National Science Foundation,Federal,1118017
,IDM0000346,Children's Oncology Group,Foundation,
,IDM0001601,Natl Childhood Cancer Fnd,Foundation,
,ID00006702,Novartis Pharmaceuticals Corporation,Industry,
,ID00005872,RSNA Research & Education Foundation,Foundation,
DR00001345,ID00002728,Lundbeck LLC,Industry,
,IDM0002446,Collins Medical Trust,Foundation,
,ID00003716,"Intel, Inc.",Industry,
,ID00004331,OHSU Knight Cancer Institute,Foundation,
,ID00007698,"DHHS NIH Natl Heart, Lung, and Blood Inst",Federal,
,ID00004450,Segal Family Foundation,Foundation,
,ID00011379,Digestive Care Inc,Industry,
,ID00011498,Anna Fuller Fund,Foundation,
,ID00001685,Patient-Centered Outcomes Research Institute (PCORI),Foundation,
,ID00009279,SGS North America Inc,Industry,
DR00002598,ID00009589,Janssen Research & Development LLC,Industry,
DR00000593,IDM0001676,Janssen Research & Development LLC,Industry,
DR00002167,IDM0002795,Janssen Research & Development LLC,Industry,
,ID00011723,DOD CONTRACT,Federal,W81XWH-14-2-0003
DR00001567,IDM0000984,Daiichi Sankyo Company Inc,Industry,
DR00000168,IDM0002400,Celldex Therapeutics Inc,Industry,CDX-011-04
DR00001745,ID00003078,Genentech Inc,Industry,
,IDM0001074,DHHS NIH Natl Inst of Mental Hlth,Federal,1 R01 MH085641-01A1
,IDM0001725,DHHS NIH Natl Inst of Mental Hlth,Federal,1K23MH095828 - 01
,ID00011487,Janssen Research & Development LLC,Industry,
,ID00006282,OHSU Dept of OB/GYN,Foundation,
,ID0000004199,DHHS National Institutes of Health,Federal,NIH 1R01AI067522 - 01A1
,IDM0000998,Patient-Centered Outcomes Research Institute (PCORI),Foundation,
DR00002478,ID00007751,St. Jude Medical Inc,Industry,
,ID00009100,Brenden-Colson Center,Foundation,
,ID00012692,Brenden-Colson Center,Foundation,
DR00002601,ID00010826,RenovoRx Inc,Industry,
,IDM0001718,DHHS National Institutes of Health,Federal,
,ID00007608,U.S. Dept of Veterans Affairs,Federal,
,ID00007682,Pacific Pediatric Neuro-Oncology Consortium,Medical Center/Hospital,
DR00002080,ID00002866,Merck Sharp & Dohme Corp,Industry,
DR00000634,IDM0002546,Merck Sharp & Dohme Corp,Industry,
DR00001733,ID00004377,Merck Sharp & Dohme Corp,Industry,
,ID00006354,Medtronic Inc,Industry,
,ID00010959,Univ. of Alabama at Birmingham,Academic Institution/Univ,
,ID00010410,State of Minnesota,State Non Oregon,
,IDM0001750,European Commission,Foreign,
DR00000849,IDM0000388,Anthera Pharmaceuticals Inc,Industry,
,ID00012343,DHHS National Institutes of Health,Federal,1R01 DC007129-01
DR00002673,ID00007430,Deciphera Pharmaceuticals LLC,Industry,
,IDM0001473,Parkinson Alliance,Foundation,
,ID00009848,Ford Family Foundation,Foundation,
,ID00004568,Alzheimer's Association,Foundation,
,ID00007058,Leona M. and Harry B. Helmsley Charitable Trust,Foundation,
DR00002482,ID00010440,INSYS Development Company Inc,Industry,
,ID00002750,Bristol-Myers Squibb Company,Industry,AI447-016
,ID00007336,Simons Foundation,Foundation,305927
,ID00004839,Gilead Sciences Inc,Industry,GS-US-248-0121
,ID00001267,DHHS NIH Natl Inst of Allergy & Infectious Disease,Federal,
,ID00003303,"StemCells, Inc.",Industry,
DR00001239,IDM0001234,Gilead Sciences Inc,Industry,
DR00002158,ID00010837,Biogen MA Inc,Industry,
,IDM0001338,Health Care Coalition of Southern Oregon,Foundation,
DR00002824,ID00012329,Bristol-Myers Squibb Company,Industry,
DR00000777,ID00012705,Bioverativ Inc,Industry,
DR00002519,ID00010303,Ironwood Pharmaceuticals Inc,Industry,
,IDM0001155,Natl Childhood Cancer Fnd,Foundation,9003607
,ID00005944,"Orexigen Therapeutics, Inc.",Industry,Do not bill IRQ at this time per/Jen
,ID00003352,Natl Childhood Cancer Fnd,Foundation,
,ID00005032,DHHS NIH Natl Inst on Alcohol Abuse and Alcoholism,Federal,P60AA010760
,ID00003000,Kaiser Permanente,Medical Center/Hospital,
DR00002678,ID00011067,AbbVie Inc,Industry,
DR00000125,IDM0000079,Edge Therapeutics Inc,Industry,
DR00001874,ID00003653,QLT Inc,Industry,
,ID00002900,DHHS National Institutes of Health,Federal,
,ID00002861,Pennsylvania State University,Academic Institution/Univ,
,IDM0000607,"DHHS NIH Natl Heart, Lung, and Blood Inst",Federal,HHSN268201100025C
,ID00009673,DHHS NIH Natl Inst on Alcohol Abuse and Alcoholism,Federal,
DR00002542,ID00010777,TransMedics Inc,Industry,
DR00000503,IDM0002453,Incyte Corporation,Industry,INCB-MA-PV-401
DR00001051,ID00008094,Novo Nordisk Inc,Industry,
,ID00011004,OHSU University Shared Resources Pilot Funding,Foundation,
,ID00011291,DHHS National Institutes of Health,Federal,
,ID00005172,FibroGen Inc,Industry,
DR00001434,ID00003547,Bellicum Pharmaceuticals Inc,Industry,
,ID00009901,Gerlinger Endowment,Foundation,
DR00001966,ID00006003,MediciNova Inc,Industry,
,IDM0000682,DHHS NIH Natl Inst on Aging,Federal,1 R21 AG027129
DR00001735,ID00005023,DHHS NIH Natl Inst on Aging,Federal,
DR00002709,ID00011285,UCB Biosciences Inc,Industry,
,ID00012167,Univ. of Virginia,Academic Institution/Univ,
,ID00000141,Alex's Lemonade Stand,Foundation,
,ID00006347,DHHS NIH Natl Cancer Inst,Federal,
DR00000743,IDM0002749,Vertex Pharmaceuticals Inc,Industry,
DR00000267,IDM0001432,Vertex Pharmaceuticals Inc,Industry,
,IDM0000288,DHHS NIH Natl Eye Inst,Federal,
,ID00002711,DHHS NIH Natl Cancer Inst,Federal,
,IDM0000336,DHHS NIH Natl Cancer Inst,Federal,R01 CA140560-01
,ID00003564,"Becton, Dickinson and Company",Industry,
,ID00005346,Alex's Lemonade Stand,Foundation,
,IDM0001690,Eastern Cooperative Oncology Group (ECOG),Foundation,
DR00001692,ID00003852,Eli Lilly and Company,Industry,
,ID00009619,Univ. of Washington,Academic Institution/Univ,5U01HL077863-10
DR00001524,ID00001721,Smart Practice,Industry,
DR00002012,ID00006043,Atara Biotherapeutics Inc,Industry,
DR00002792,ID00011946,Eidos Therapeutics,Industry,
,ID00003149,MED-EL Corporation,Industry,
DR00001187,ID00001996,Eli Lilly and Company,Industry,
,ID00001458,DHHS NIH Natl Inst on Drug Abuse,Federal,1K23DA023467-01A1
,ID00007171,Dartmouth College,Academic Institution/Univ,
,ID00006046,JHP Pharmaceuticals LLC,Industry,
,ID00005205,"Association of Prevention, Teaching and Research",Foundation,
DR00002746,ID00004052,Fate Therapeutics Inc,Industry,
,ID00008202,DHHS NIH Natl Cancer Inst,Federal,
,IDM0002981,"DHHS NIH Natl Heart, Lung, and Blood Inst",Federal,1K23HL127132 - 01A1
,ID00012597,OCTRI,Federal,8UL1TR000128-08
,ID00011952,OCTRI,Federal,
,ID00011763,Altarum Institute,Foundation,
,IDM0000478,Foundation Fighting Blindness,Foundation,
,IDM0000833,DHHS NIH Natl Inst of Nursing Rsch,Federal,
DR00002599,IDM0000985,Novartis Pharmaceuticals Corporation,Industry,
DR00001060,IDM0000985,Novartis Pharmaceuticals Corporation,Industry,
DR00000911,IDM0000985,Novartis Pharmaceuticals Corporation,Industry,
,IDM0000449,Novartis Pharmaceuticals Corporation,Industry,
,IDM0002416,Novartis Pharmaceuticals Corporation,Industry,
,IDM0002406,Genentech Inc,Industry,
,ID00012708,American Gastroenterological Association,Foundation,
,ID00012226,U.S. Army Medical Research and Materiel Command,Federal,PR121146
,ID00010407,Duke Univ.,Academic Institution/Univ,
,ID0000002688,United Therapeutics Corporation,Industry,TDE-PH-302
,ID0000001748,"Scios, Inc.",Industry,B008
,ID00008320,Alex's Lemonade Stand,Foundation,
DR00002142,ID00007298,Castle Biosciences Inc,Industry,
DR00001858,ID00005547,Novartis Pharmaceuticals Corporation,Industry,
,ID00006966,Cell Cure NeuroSciences Ltd,Industry,
,ID0000000830,Grunenthal GmbH,Industry,KF9906/03
,ID0000001119,Boston Scientific Corporation,Industry,
,ID00005138,"Purdue Pharma, L.P.",Industry,
DR00000206,ID00007023,Novo Nordisk Inc,Industry,
,IDM0001734,Children's Oncology Group,Foundation,
,IDM0000391,Children's Oncology Group,Foundation,
,ID00012234,"DHHS NIH Natl Heart, Lung, and Blood Inst",Federal,
,ID00009725,"DHHS NIH Natl Heart, Lung, and Blood Inst",Federal,
DR00002133,ID00006791,Sage Therapeutics,Industry,
DR00002734,ID00004371,Zenith Epigenetics Ltd,Industry,
DR00001596,ID00004371,Zenith Epigenetics Ltd,Industry,
,IDM0000164,SWOG-CTI,Foundation,
,ID00009202,DHHS CDCP Natl Inst for Occupational Safety & Hlth,Federal,
,IDM0000045,DHHS NIH Natl Cancer Inst,Federal,
,ID00012726,National Center for Interprofessional Practice and Education,Foundation,
DR00002210,ID00007804,Agios Pharmaceuticals Inc,Industry,
,ID00012570,Acerta Pharma LLC,Industry,
,ID00009492,SWOG-CTI,Foundation,
,IDM0001142,SWOG-CTI,Foundation,
,ID00005524,DHHS NIH Natl Inst of Child Hlth & Human Dvlp,Federal,R01 HD089951-01
,00002367,DHHS NIH Natl Ctr for Complementary & Integrative Health,Federal,F31 AT006647 
,IDM0000869,Emory Univ.,Academic Institution/Univ,NIH via Emory University
,ID00001735,"Wyeth Pharmaceuticals, Inc.",Industry,
,IDM0002510,"DHHS NIH Natl Heart, Lung, and Blood Inst",Federal,2R01HL098621-04
,ID00002448,Hyperion Therapeutics Inc,Industry,
,ID0000002143,"UCB Pharma, Inc.",Industry,
DR00002866,IDM0001193,Novartis Pharmaceuticals Corporation,Industry,
DR00002702,ID00011817,Novartis Pharmaceuticals Corporation,Industry,
,ID0000004211,Susan Thompson Buffett Foundation,Foundation,
DR00000852,IDM0001683,Polynoma LLC,Industry,
,ID00008118,DHHS HRSA Maternal and Child Hlth Bureau,Federal,GCDRC0187
DR00001790,ID00011481,Takeda Pharmaceutical Company Ltd,Industry,IISR-2016-101586
,ID00003221,American College of Radiology,Foundation,
,ID00003625,Hyundai Hope on Wheels,Industry,
,ID00006700,Biotest Pharmaceuticals Corporation,Industry,
,ID00002442,DHHS NIH Natl Inst on Aging,Federal,
DR00002378,ID00009419,Chiasma Inc,Industry,
DR00001884,ID00005308,Acerta Pharma BV,Industry,
DR00002682,ID00002846,Grifols Therapeutics Inc,Industry,GTi1201-OLE
DR00001966,ID00008957,Collins Medical Trust,Foundation,
,ID00012878,Collins Medical Trust,Foundation,
,ID00007573,OHSU School of Nursing,Foundation,
,ID00011919,OHSU School of Nursing,Foundation,
,ID00004392,OHSU Knight Cancer Institute,Foundation,
DR00000296,IDM0001087,AnGes Inc,Industry,AG-CLI-0206
DR00001561,ID00003889,Merck Sharp & Dohme Corp,Industry,
,ID00005293,DHHS NIH Natl Inst of Child Hlth & Human Dvlp,Federal,
DR00002114,ID00007050,Leukemia and Lymphoma Society,Foundation,BAML-16-001-S3
,ID00012315,Optovue Inc,Industry,
DR00000740,IDM0001254,Novartis Pharmaceuticals Corporation,Industry,No MR/CR fees per KS
DR00001710,ID00004356,Helsinn Therapeutics Inc,Industry,
,ID00012425,OCTRI,Federal,UL1 TR000128
,ID00002024,Susan Thompson Buffett Foundation,Foundation,
,ID00008049,American College of Radiology,Foundation,
,IDM0001094,U.S. Dept of Veterans Affairs,Federal,
,IDM0001154,DHHS NIH Natl Inst on Deafness & Other Com Disorders,Federal,5 R01 DC011828
DR00001505,ID00003817,Merck Sharp & Dohme Corp,Industry,
,IDM0001677,OHSU Knight Cancer Institute,Foundation,CPP.2014.07
,IDM0000873,OHSU Knight Cancer Institute,Foundation,
,IDM0001615,DHHS NIH Natl Inst of Neuro Disorders & Stroke,Federal,
,ID00012373,DHHS NIH Natl Inst of Diab & Digest & Kid Diseases,Federal,
DR00001076,ID00012804,Sanofi-Aventis US,Industry,
DR00000581,ID00012804,Sanofi-Aventis US,Industry,
,IDM0000983,MedImmune LLC,Industry,
DR00000006,IDM0001631,Bayer Healthcare AG,Industry,
DR00001755,ID00004644,Biogen Inc,Industry,
,IDM0000263,Brigham and Women's Hospital Inc,Medical Center/Hospital,
DR00002688,ID00005219,ALS Finding A Cure,Foundation,
,ID00002196,National Association of Chronic Disease Directors,Foundation,
DR00000306,ID00007167,Amicus Therapeutics Inc,Industry,
,ID00006413,VGTI Florida,Foundation,
,IDM0001116,DHHS NIH Fogarty International Center,Federal,
,ID00012252,Foundation Fighting Blindness,Foundation,CD-CL-1017-0726-OHSU
,ID00012554,Astellas Pharma Global Development Inc,Industry,
,ID0000000024,SWOG-CTI,Foundation,
,ID0000003104,SWOG-CTI,Foundation,
,ID0000000512,SWOG-CTI,Foundation,
,ID00009908,DHHS NIH Natl Inst of Diab & Digest & Kid Diseases,Federal,
DR00002096,IDM0001252,Cameron Health Inc,Industry,
DR00000407,IDM0001252,Cameron Health Inc,Industry,
,ID00012395,Northwestern Univ.,Academic Institution/Univ,
,IDM0000016,Jaeb Ctr for Hlth Rsch Inc,Foundation,NIH
,IDM0000186,"DHHS ACL Natl Inst on Disability, Independent Living & Rehabilitation Research",Federal,
,IDM0000724,Colciencias,Foreign,
,ID00007938,Thoratec Corporation,Industry,
,ID00012138,"Sigma Theta Tau International, Beta Psi Chapter",Foundation,
,ID00010468,NIH Common Fund,Federal,1R61AT009628-01
,ID00010520,DHHS National Institutes of Health,Federal,
,ID00012594,American Cancer Society,Foundation,
,IDM0001242,American Cancer Society,Foundation,RSGPB CPPB-112100
,ID00010267,DHHS NIH Natl Inst on Aging,Federal,R01AG042191-01A1
,ID00003572,NICHD,NIH,
,ID00001125,"EnteroMedics, Inc.",Industry,
,ID00000009,DHHS NIH Natl Eye Inst,Federal,EY011548 (PI: Powers)
,ID00009995,Genentech Inc,Industry,
,ID00011982,Dana Foundation,Foundation,
,ID00012595,Medical Research Foundation of Oregon,Foundation,
DR00002179,ID00000044,GE Healthcare Inc,Industry,
,IDM0000666,OHSU Fnd,Foundation,
,ID00007049,American Diabetes Association,Foundation,
,ID0000000847,"Q-Med Scandinavia, Inc.",Industry,
,ID00002831,SWOG-CTI,Foundation,
,ID0000001401,SWOG-CTI,Foundation,
,ID00002524,SWOG-CTI,Foundation,
DR00001373,ID00003141,SARC,Foundation,
,ID00001783,"Galderma Research & Development, Inc.",Industry,GDERM0176
,IDM0000953,DHHS NIH Natl Inst on Drug Abuse,Federal,NIH - Do not Bill 1K23DA023467-01A1
,IDM0002566,DHHS NIH Natl Inst on Drug Abuse,Federal,(Biospeech) 1R43DA037588-01A1
DR00000752,IDM0001321,Clovis Oncology,Industry,
DR00002406,ID00009726,Insmed Inc,Industry,
,00004349,Rally Foundation,Foundation,pending IRB approval
,ID00005283,Alexion Pharmaceuticals Inc,Industry,
,ID00005974,American Academy of Pediatrics,Foundation,
,ID00004370,NIH Common Fund,Federal,UWSC9360
,ID00005824,NIH Common Fund,Federal,
,ID00010433,AstraZeneca LP,Industry,
,ID00012588,Hyundai Hope on Wheels,Industry,
,ID00009484,DHHS NIH Natl Inst on Aging,Federal,
,IDM0002644,DHHS NIH Natl Inst on Aging,Federal,1R01AG043398-01A1
,ID00007245,Howard Hughes Medical Inst,Foundation,
,ID00005588,Pfizer Inc,Industry,A3051148
,ID00005326,Pfizer Inc,Industry,
,ID00004518,Amgen Inc,Industry,20070561
,ID00011411,Seattle Children's Hospital Research Fnd,Medical Center/Hospital,
,ID00007580,SWOG-CTI,Foundation,
,ID0000001134,SWOG-CTI,Foundation,
,00003165,"DHHS NIH Natl Heart, Lung, and Blood Inst",Federal,"PPG housed at FHCRC, we are a participating site"
,ID00004270,OHSU Knight Cancer Institute,Foundation,
,ID00003457,DHHS NIH Natl Inst of Environmental Hlth,Federal,
,ID00012368,Natl Multiple Sclerosis Society,Foundation,FG 2018-A-1
,IDM0000777,Cambia Health Foundation,Foundation,
,ID00000200,DHHS NIH Natl Ctr for Advancing Translational Sciences,Federal,UL1TR000128
,IDM0001429,DHHS NIH Natl Ctr for Advancing Translational Sciences,Federal,
,ID00002669,Forest Research Institute,Industry,
,ID00007809,DiabetOmics Inc,Industry,
,ID00007431,DHHS NIH Natl Inst on Drug Abuse,Federal,
,ID00011633,DHHS NIH Natl Inst on Drug Abuse,Federal,UG1 DA015815
DR00002624,ID00011274,Clovis Oncology,Industry,
DR00001659,ID00002132,Insmed Inc,Industry,
,ID00008628,Bayer HealthCare Pharmaceuticals Inc,Industry,per billing agreement MRs & CRQs now Waived - CS 
DR00002557,ID00010378,Bayer HealthCare Pharmaceuticals Inc,Industry,
DR00000971,ID00000007,Bayer HealthCare Pharmaceuticals Inc,Industry,
DR00000870,IDM0000895,Covidien LP,Industry,
,ID00002635,ImClone Systems Corporation,Industry,
,ID00005291,Alzheimer's Association,Foundation,
,ID0000000897,"Cephalon, Inc.",Industry,c1538/3028/ap/mn
,ID00009722,SWOG-CTI,Foundation,
,IDM0002799,OHSU Fnd,Foundation,24996
,ID00004958,OHSU Fnd,Foundation,
,IDM0001349,DHHS CDCP Natl Inst for Occupational Safety & Hlth,Federal,
,ID00000053,DHHS HRSA Bureau of Hlth Professions - Div of Med,Federal,HRSA 1 U1EMC27862-01-00
DR00000158,IDM0000651,Lung LLC,Industry,
DR00000802,IDM0000651,Lung LLC,Industry,
,ID00003570,Duke Univ.,Academic Institution/Univ,
DR00002802,ID00012221,MEI Pharma Inc,Industry,
,IDM0000479,Oncology Nursing Society Foundation,Foundation,Not applicable
,ID00002258,DHHS Hlth Resources and Svcs Admin,Federal,
,IDM0000913,DHHS Hlth Resources and Svcs Admin,Federal,HHSH25201400001C
,ID0000001590,SWOG-CTI,Foundation,
,ID0000002788,SWOG-CTI,Foundation,
,ID00012517,Cambia Health Foundation,Foundation,
,ID00011704,Bill & Melinda Gates Foundation,Foundation,
,ID00012545,DHHS CDCP,Federal,U18 DP006116
,ID00004072,Patient-Centered Outcomes Research Institute (PCORI),Foundation,
,IDM0001442,International Spine Study Group Foundation (ISSGF),Foundation,n/a
,ID00002891,Novo Nordisk A/S,Industry,NN8630-3564
,ID00005004,DHHS NIH Natl Inst on Aging,Federal,1R01AG052412
,ID00003819,"Chimerix, Inc.",Industry,
,ID00011473,Friends of Doernbecher,Foundation,
,ID00010291,Medical Research Foundation of Oregon,Foundation,
,IDM0002781,DHHS NIH Natl Library of Medicine,Federal,1K99LM012238-01
,ID00012208,Children's Hospital Los Angeles,Medical Center/Hospital,
,ID00004381,DOD,Federal,
,IDM0000267,Abbott Laboratories,Industry,
,ID00010460,DOD,Federal,W81XWH-16-2-0012
,ID00012886,DHHS NIH Natl Inst on Aging,Federal,P30 AG008017
,ID00012768,American Association for the Surgery of Trauma,Foundation,"OGA# GSURG0232A, Org #66913"
DR00000009,IDM0000707,Bolton Medical Inc,Industry,IP-0009-12
,ID00004509,American Philosophical Society,Foundation,
,ID00007420,ADEAGies Foundation,Foundation,
,ID0000000812,SWOG-CTI,Foundation,
,IDM0000324,Children's Oncology Group,Foundation,
,ID00012524,DHHS NIH Natl Cancer Inst,Federal,
DR00002580,ID00010124,Loxo Oncology,Industry,
,IDM0000947,SWOG-CTI,Foundation,
,IDM0002987,SWOG-CTI,Foundation,
,ID0000001001,Kinetics Foundation,Foundation,
,ID00012711,DHHS NIH Natl Inst of Child Hlth & Human Dvlp,Federal,5K12HD043488-14
,ID00006820,DHHS NIH Natl Inst of Diab & Digest & Kid Diseases,Federal,1DP3DK101044
,ID00000058,Oregon Health Authority,State Oregon,
DR00000356,IDM0001658,Grifols Therapeutics Inc,Industry,GTi1201 / SPARTA
DR00000358,ID00007728,Eisai Inc,Industry,Industry partner providing additional funding. CHOP is prime/flow thru for all funding cited in this IRQ
,ID00001384,Natl Childhood Cancer Fnd,Foundation,
,ID00004895,Natl Multiple Sclerosis Society,Foundation,
,ID0000001028,SWOG-CTI,Foundation,
,ID00004563,NIH Common Fund,Federal,1R01HL132985 - 01
,ID00012229,NIH Common Fund,Federal,
,IDM0001016,DHHS NIH Natl Ctr for Complementary & Integrative Health,Federal,K23AT008405
DR00001732,ID00012618,Bayer Corporation,Industry,
,ID00001778,Natl Childhood Cancer Fnd,Foundation,
,IDM0002985,DHHS NIH Natl Inst of Neuro Disorders & Stroke,Federal,
,ID00011700,DHHS NIH Natl Inst of Neuro Disorders & Stroke,Federal,U01NS080818-01A1 and U01NS080840-01A1
,ID00008842,DHHS National Institutes of Health,Federal,
,ID00011701,Michael J. Fox Fdn for Parkinson's Research,Foundation,
,IDM0000278,Bristol-Myers Squibb Company,Industry,
,IDM0001159,"Association of Prevention, Teaching and Research",Foundation,
,ID00000774,Behavioral Health Systems Research,Foundation,
,ID0000000640,Genentech Ctr for Clinical Rsch and Education,Industry,
,ID00000468,Kaiser Permanente,Medical Center/Hospital,
,ID00004955,Leukemia and Lymphoma Society,Foundation,BAML-16-001-S2
