eCRIS Contract Nbr,Contract Type,Workflow State From,State Entry Dt,Workflow State To,State Exit Dt
DR00002677,Contract,In External Review,2018-03-20 18:20:30,Waiting for IRB Approval of Study,2018-03-20 18:20:58
DR00000839,Confidentiality Agreement,Negotiation In Process,2015-06-08 19:40:26,In External Review,2015-06-08 19:42:47
DR00002706,Contract,Agreement Received (Waiting for Data Entry),2018-01-26 23:19:21,Waiting for IRB Submission,2018-01-26 23:23:33
DR00001840,Contract,In External Review,2016-12-24 01:25:22,Waiting for IRB Approval of Study,2017-02-07 21:38:38
DR00000275,Contract,Pending SPA setup,2014-12-09 23:24:29,OGA Setup Complete,2014-12-16 12:00:08
DR00001277,Contract,Waiting for OHSU Signatures,2016-04-18 16:09:33,Pending SPA setup,2016-05-20 16:54:38
DR00001893,Confidentiality Agreement,Negotiation In Process,2016-12-28 16:25:33,In External Review,2016-12-28 16:34:40
DR00001710,Contract,In External Review,2016-12-16 00:15:42,Waiting for IRB Approval of Study,2017-02-01 16:14:00
DR00002642,Confidentiality Agreement,Negotiation In Process,2017-12-22 16:33:59,In External Review,2017-12-22 19:45:57
DR00001335,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00002002,Confidentiality Agreement,Negotiation In Process,2017-03-06 21:02:29,In External Review,2017-03-06 21:42:02
DR00002424,Confidentiality Agreement,Negotiation In Process,2017-10-02 20:54:30,In External Review,2017-10-02 21:17:01
DR00000755,Contract,Negotiation In Process,2015-05-28 16:53:31,In External Review,2015-08-13 19:30:18
DR00002556,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000772,Contract,Pending SPA setup,2015-08-04 21:46:25,OGA Setup Complete,2015-08-06 11:00:07
DR00000166,Confidentiality Agreement,Negotiation In Process,2014-02-27 19:34:11,In External Review,2014-02-27 19:36:45
DR00001189,Master Contract,Negotiation In Process,2016-02-22 16:59:47,In External Review,2016-02-22 17:01:36
DR00001591,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001053,Confidentiality Agreement,In External Review,2015-10-09 23:03:10,In OHSU Review,2015-10-16 22:51:13
DR00000252,Contract,Waiting for OHSU Signatures,2014-09-18 20:58:47,Waiting for Sponsor Signature,2014-09-22 18:19:17
DR00000362,Contract,Waiting for OHSU Signatures,2014-10-22 23:40:58,Waiting for Sponsor Signature,2014-10-31 01:20:40
DR00000834,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000876,Contract,Waiting for OHSU Signatures,2015-11-05 23:15:48,Waiting for Sponsor Signature,2015-11-18 01:05:07
DR00000609,Contract,In External Review,2015-04-30 16:51:37,In OHSU Review,2015-05-08 17:57:25
DR00000662,Contract,In External Review,2015-03-13 22:34:52,In OHSU Review,2015-05-20 20:53:33
DR00000111,Contract,In External Review,2014-04-08 21:24:22,In OHSU Review,2014-04-24 23:08:36
DR00000975,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002681,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002274,Confidentiality Agreement,Negotiation In Process,2017-07-03 23:39:03,In External Review,2017-07-03 23:40:32
DR00000290,Confidentiality Agreement,In External Review,2014-06-11 22:56:08,In OHSU Review,2014-08-15 19:22:59
DR00000167,Confidentiality Agreement,In External Review,2014-02-26 23:14:57,Withdrawn,2014-04-02 17:06:42
DR00001165,Contract,In External Review,2016-01-08 23:21:26,In OHSU Review,2016-01-12 17:36:57
DR00001568,Confidentiality Agreement,In External Review,2016-07-26 19:50:01,In OHSU Review,2016-07-27 18:12:45
DR00001687,Contract,In External Review,2016-10-18 19:12:15,In OHSU Review,2016-11-18 23:51:36
DR00000814,Contract,In External Review,2015-10-07 20:32:42,In OHSU Review,2015-10-29 17:21:14
DR00000907,Contract,Negotiation In Process,2015-08-04 20:43:47,Waiting for Final Budget,2015-08-20 22:33:51
DR00000152,Confidentiality Agreement,Negotiation In Process,2014-02-19 22:43:44,In External Review,2014-02-19 22:50:59
DR00000603,Amendment,Agreement Received (Waiting for Data Entry),2015-01-22 19:07:24,Agreement Uploaded/ Waiting for Negotiation,2015-01-22 19:07:25
DR00001817,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-11-14 22:52:35,Agreement Uploaded/ Waiting for Negotiation,2016-11-14 22:52:35
DR00000690,Confidentiality Agreement,In External Review,2015-04-10 20:18:15,Negotiation Complete,2015-04-21 00:53:56
DR00000423,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2014-09-05 18:23:56,Agreement Uploaded/ Waiting for Negotiation,2014-09-05 18:23:56
DR00002540,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-11-09 03:22:23,Agreement Uploaded/ Waiting for Negotiation,2017-11-09 03:22:24
DR00001727,Subcontract,Agreement Received (Waiting for Data Entry),2016-10-04 19:45:53,Agreement Uploaded/ Waiting for Negotiation,2016-10-04 19:47:51
DR00000490,Contract,Waiting for OHSU Signatures,2015-01-27 18:21:24,Pending SPA setup,2015-06-17 18:04:15
DR00001725,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000196,Amendment,Negotiation In Process,2014-03-11 18:37:05,Negotiation Complete,2014-03-11 18:37:10
DR00002050,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001618,Amendment,Negotiation In Process,2016-08-23 20:53:11,Negotiation Complete,2016-08-23 20:53:16
DR00000723,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001623,Contract,Negotiation In Process,2017-02-21 23:59:49,Agreement On Hold,2017-02-27 19:08:00
DR00002200,Contract,Waiting for IRB Approval of Study,2017-06-29 19:16:06,Waiting for Final Budget,2017-08-29 21:18:36
DR00002553,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001852,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002472,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001402,Contract,Negotiation In Process,2016-04-18 21:50:47,Waiting for IRB Approval of Study,2016-04-18 21:52:34
DR00002513,Confidentiality Agreement,Negotiation In Process,2017-11-05 03:09:53,In External Review,2017-11-05 03:43:44
DR00001692,Contract,Waiting for OHSU Signatures,2016-11-11 17:15:12,Waiting for Sponsor Signature,2017-04-07 18:51:25
DR00000151,Contract,In OHSU Review,2014-02-20 22:32:19,Waiting for Final Budget,2014-02-20 22:32:52
DR00000460,Contract,In OHSU Review,2015-02-13 20:46:44,In External Review,2015-02-18 22:50:54
DR00000715,Contract,In OHSU Review,2015-05-08 19:19:32,Waiting for Final Budget,2015-05-08 19:20:34
DR00001823,Amendment,Negotiation In Process,2016-12-21 17:27:55,In External Review,2016-12-22 00:14:16
DR00001751,Contract,In OHSU Review,2016-12-12 19:09:20,In External Review,2016-12-20 00:10:37
DR00002321,Confidentiality Agreement,In OHSU Review,2017-08-01 17:45:34,In External Review,2017-08-01 17:54:59
DR00000498,Confidentiality Agreement,In OHSU Review,2015-01-16 23:41:02,In External Review,2015-01-16 23:41:59
DR00002408,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-09-06 17:36:56,Agreement Uploaded/ Waiting for Negotiation,2017-09-06 17:36:57
DR00002811,Contract,In OHSU Review,2018-03-08 23:00:25,In External Review,2018-03-08 23:05:44
DR00001789,Contract,In OHSU Review,2017-04-14 20:46:51,Waiting for Final Budget,2017-04-14 21:31:02
DR00000680,Contract,Pending SPA setup,2015-06-02 20:17:49,OGA Setup Complete,2015-06-05 11:00:06
DR00002053,Confidentiality Agreement,In OHSU Review,2017-04-03 19:02:51,In External Review,2017-04-03 19:04:03
DR00000292,Contract,Pending SPA setup,2014-05-23 21:53:51,OGA Setup Complete,2014-05-29 11:00:11
DR00001232,Confidentiality Agreement,In OHSU Review,2016-05-02 18:31:24,In External Review,2016-05-02 18:32:21
DR00002436,Confidentiality Agreement,In OHSU Review,2017-10-02 22:00:47,In External Review,2017-10-02 22:01:05
DR00000374,Contract,In OHSU Review,2014-08-26 17:39:10,In External Review,2014-09-17 21:43:08
DR00002087,Confidentiality Agreement,Negotiation In Process,2017-04-12 21:34:57,In External Review,2017-04-12 21:51:58
DR00001718,Contract,In External Review,2017-03-15 19:38:57,In OHSU Review,2017-03-17 22:15:48
DR00001937,Confidentiality Agreement,In External Review,2017-02-02 22:03:05,In OHSU Review,2017-02-10 17:17:19
DR00000115,Confidentiality Agreement,In OHSU Review,2014-01-28 15:50:33,In External Review,2014-01-28 15:53:01
DR00001305,Contract,In External Review,2016-05-11 22:04:39,In OHSU Review,2016-06-01 18:22:18
DR00002149,Contract,In OHSU Review,2017-09-05 15:40:14,In External Review,2017-09-05 17:47:33
DR00001000,Confidentiality Agreement,In OHSU Review,2015-09-04 19:16:10,In External Review,2015-09-04 23:35:32
DR00001609,Confidentiality Agreement,In OHSU Review,2016-09-20 19:27:24,Negotiation Complete,2016-09-20 19:27:29
DR00000284,Contract,In OHSU Review,2014-10-31 18:09:44,IRB and Budget Approved,2014-10-31 18:09:52
DR00002228,Confidentiality Agreement,In OHSU Review,2017-06-15 20:22:07,Negotiation Complete,2017-06-16 18:10:04
DR00002126,Confidentiality Agreement,In OHSU Review,2017-07-11 22:18:30,Negotiation Complete,2017-07-13 22:11:37
DR00000910,Confidentiality Agreement,In OHSU Review,2015-07-30 23:54:51,Negotiation Complete,2015-07-30 23:54:56
DR00002500,Contract,In OHSU Review,2018-02-13 20:03:24,IRB and Budget Approved,2018-03-13 19:54:57
DR00001278,Contract,In OHSU Review,2016-04-21 22:28:36,In External Review,2016-04-25 23:19:56
DR00001208,Contract,In OHSU Review,2016-09-29 22:06:35,In External Review,2016-09-29 22:17:07
DR00001267,Contract,In External Review,2016-03-09 20:41:44,In OHSU Review,2016-04-26 20:56:40
DR00001996,Confidentiality Agreement,In OHSU Review,2017-03-30 23:29:38,Negotiation Complete,2017-03-31 00:21:49
DR00002780,Contract,In OHSU Review,2018-02-26 21:33:15,IRB and Budget Approved,2018-02-26 21:33:20
DR00000849,Contract,In OHSU Review,2016-02-09 22:26:29,In External Review,2016-02-11 21:16:26
DR00001866,Confidentiality Agreement,In OHSU Review,2016-12-20 22:50:47,In External Review,2016-12-20 22:51:48
DR00000390,Contract,In OHSU Review,2014-10-15 22:10:20,Waiting for Final Budget,2014-10-15 22:10:28
DR00001302,Amendment,Agreement Received (Waiting for Data Entry),2016-03-01 23:46:27,Agreement Uploaded/ Waiting for Negotiation,2016-03-01 23:46:27
DR00001648,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-09-01 17:13:46,Agreement Uploaded/ Waiting for Negotiation,2016-09-01 17:13:46
DR00001218,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-01-27 22:05:24,Agreement Uploaded/ Waiting for Negotiation,2016-01-27 22:05:24
DR00002381,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-08-22 20:58:54,Agreement Uploaded/ Waiting for Negotiation,2017-08-22 20:58:55
DR00001421,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-04-27 18:36:07,Agreement Uploaded/ Waiting for Negotiation,2016-04-27 18:36:07
DR00000102,Contract,Agreement Received (Waiting for Data Entry),2013-12-12 22:46:02,Agreement Uploaded/ Waiting for Negotiation,2013-12-12 23:41:17
DR00001812,Amendment,Agreement Received (Waiting for Data Entry),2016-11-10 21:09:23,Agreement Uploaded/ Waiting for Negotiation,2016-11-10 21:09:24
DR00002398,Contract,In External Review,2018-03-13 20:34:39,Waiting for Final Budget,2018-03-26 18:41:37
DR00001365,Confidentiality Agreement,In OHSU Review,2016-05-04 16:08:54,Negotiation Complete,2016-05-04 16:09:00
DR00002057,Contract,In OHSU Review,2017-05-09 17:44:47,Waiting for IRB Approval of Study,2017-05-09 17:52:22
DR00001967,Contract,In OHSU Review,2017-10-26 20:55:30,In External Review,2017-10-26 20:56:45
DR00002098,Contract,In OHSU Review,2017-05-10 23:37:58,In External Review,2017-05-10 23:40:25
DR00001252,Confidentiality Agreement,Negotiation In Process,2016-02-11 18:16:54,In External Review,2016-02-11 21:16:50
DR00000068,Contract,In OHSU Review,2014-02-28 01:48:39,In External Review,2014-02-28 01:49:39
DR00000658,Confidentiality Agreement,In OHSU Review,2015-03-11 22:53:09,In External Review,2015-03-11 22:57:37
DR00001374,Contract,In OHSU Review,2016-11-15 18:01:29,In External Review,2016-11-17 19:48:28
DR00000551,Confidentiality Agreement,In OHSU Review,2015-02-13 00:12:33,In External Review,2015-02-13 00:13:45
DR00002304,Confidentiality Agreement,In OHSU Review,2017-08-11 18:28:14,In External Review,2017-08-11 18:28:43
DR00000208,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2014-03-21 19:45:44,Agreement Uploaded/ Waiting for Negotiation,2014-03-21 19:45:44
DR00000562,Contract,In OHSU Review,2015-03-11 20:23:26,IRB and Budget Approved,2015-03-12 16:51:19
DR00000389,Confidentiality Agreement,In OHSU Review,2014-08-18 20:01:36,Negotiation Complete,2014-08-18 20:02:05
DR00000099,Confidentiality Agreement,In OHSU Review,2014-01-08 17:57:54,Negotiation Complete,2014-01-08 17:59:27
DR00001044,Confidentiality Agreement,Negotiation In Process,2015-09-26 01:03:05,In External Review,2015-09-30 20:27:27
DR00000034,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00002147,Contract,Negotiation In Process,2017-05-12 19:54:17,In External Review,2017-05-12 20:01:27
DR00001799,Confidentiality Agreement,Negotiation In Process,2016-11-04 22:13:22,In External Review,2016-11-04 22:26:27
DR00000528,Contract,In OHSU Review,2015-02-17 21:40:32,Waiting for Final Budget,2015-02-26 17:42:06
DR00000270,Contract,In OHSU Review,2014-08-12 23:20:23,In External Review,2014-08-22 22:52:06
DR00001974,Confidentiality Agreement,In OHSU Review,2017-02-24 22:43:45,In External Review,2017-02-28 00:00:35
DR00002783,Confidentiality Agreement,In OHSU Review,2018-03-15 17:41:40,In External Review,2018-03-15 17:42:02
DR00000481,Confidentiality Agreement,Negotiation In Process,2014-10-15 16:58:02,In External Review,2014-10-15 23:58:20
DR00000057,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002004,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000474,Confidentiality Agreement,In External Review,2014-10-22 19:52:11,Negotiation Complete,2014-10-22 22:39:37
DR00002252,Amendment,Agreement Received (Waiting for Data Entry),2017-06-13 19:04:38,Agreement Uploaded/ Waiting for Negotiation,2017-06-13 19:04:38
DR00002191,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-05-16 15:14:32,Agreement Uploaded/ Waiting for Negotiation,2017-05-16 15:14:33
DR00001918,Contract,Waiting for IRB Approval of Study,2017-02-23 22:44:07,Waiting for Final Agreement from Sponsor,2017-02-23 22:44:12
DR00000857,Contract,In OHSU Review,2016-02-04 22:03:01,In External Review,2016-02-04 22:12:40
DR00002501,Contract,In OHSU Review,2018-03-28 17:22:10,In External Review,2018-03-28 17:24:20
DR00000869,Confidentiality Agreement,Waiting for OHSU Signatures,2015-09-09 21:39:05,Waiting for Sponsor Signature,2015-09-21 18:00:09
DR00000356,Amendment,Waiting for OHSU Signatures,2014-07-16 23:00:10,Waiting for Sponsor Signature,2014-07-23 17:21:40
DR00000425,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000555,Confidentiality Agreement,Waiting for OHSU Signatures,2014-12-16 20:12:22,Waiting for Sponsor Signature,2015-04-16 23:06:23
DR00000589,Confidentiality Agreement,In External Review,2015-01-14 21:59:35,In OHSU Review,2015-01-21 22:01:57
DR00000847,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001072,Contract,In OHSU Review,2016-01-07 23:45:36,In External Review,2016-01-07 23:51:28
DR00002054,Confidentiality Agreement,In OHSU Review,2017-03-28 21:13:29,In External Review,2017-03-28 22:21:21
DR00001692,Contract,In OHSU Review,2016-11-08 22:34:38,In External Review,2016-11-08 22:37:29
DR00001343,Master Contract,In OHSU Review,2016-05-26 22:50:02,In External Review,2016-06-22 19:35:24
DR00001401,Confidentiality Agreement,In OHSU Review,2016-05-20 19:38:06,In External Review,2016-05-20 19:42:13
DR00001272,Contract,Negotiation In Process,2016-02-12 00:18:49,In External Review,2016-02-23 21:43:21
DR00002185,Confidentiality Agreement,Negotiation In Process,2017-05-12 22:29:58,In External Review,2017-05-15 18:07:23
DR00000201,Confidentiality Agreement,Negotiation In Process,2014-03-20 16:01:52,In External Review,2014-03-20 16:03:24
DR00001592,Confidentiality Agreement,Negotiation In Process,2016-08-05 00:01:08,Negotiation Complete,2016-08-05 00:17:39
DR00000610,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001074,Confidentiality Agreement,Waiting for OHSU Signatures,2015-10-30 15:40:49,Waiting for Sponsor Signature,2015-11-03 19:48:30
DR00000662,Contract,Pending SPA setup,2015-06-04 21:06:52,OGA Setup Complete,2015-06-09 11:00:08
DR00002526,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002105,Confidentiality Agreement,Negotiation In Process,2017-04-20 23:31:49,Negotiation Complete,2017-05-08 17:21:10
DR00001294,Contract,Waiting for Final Budget,2016-03-29 22:58:16,IRB and Budget Approved,2016-04-06 14:12:38
DR00001495,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000326,Contract,Waiting for IRB Submission,2014-06-11 18:06:05,Negotiation In Process,2014-07-10 21:18:42
DR00000887,Contract,Waiting for IRB Submission,2015-07-08 20:04:43,Negotiation In Process,2015-08-17 23:31:01
DR00001820,Amendment,Agreement Received (Waiting for Data Entry),2016-11-14 23:49:04,Agreement Uploaded/ Waiting for Negotiation,2016-11-14 23:49:04
DR00001332,Amendment,In External Review,2016-04-01 23:01:26,Negotiation Complete,2016-04-20 20:00:21
DR00002603,Contract,Agreement Received (Waiting for Data Entry),2017-12-07 23:22:43,Agreement Uploaded/ Waiting for Negotiation,2017-12-07 23:24:45
DR00001736,Amendment,Agreement Received (Waiting for Data Entry),2016-10-06 20:17:35,Agreement Uploaded/ Waiting for Negotiation,2016-10-06 20:17:35
DR00002071,Contract,Agreement Received (Waiting for Data Entry),2017-03-31 20:23:57,Agreement Uploaded/ Waiting for Negotiation,2017-03-31 20:37:12
DR00002676,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2018-01-18 15:36:26,Agreement Uploaded/ Waiting for Negotiation,2018-01-18 15:36:27
DR00001738,Amendment,Agreement Received (Waiting for Data Entry),2016-10-06 20:33:56,Agreement Uploaded/ Waiting for Negotiation,2016-10-06 20:33:57
DR00001847,Contract,Waiting for OHSU Signatures,2017-10-16 21:08:12,Waiting for Sponsor Signature,2017-11-21 16:03:08
DR00001506,Contract,Negotiation In Process,2016-06-15 20:40:32,Waiting for IRB Approval of Study,2016-06-21 16:04:16
DR00002831,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000762,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000433,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00000514,Amendment,Negotiation In Process,2014-11-07 22:08:31,Negotiation Complete,2014-11-24 22:38:05
DR00001392,Amendment,Waiting for OHSU Signatures,2017-06-21 21:03:09,Waiting for Sponsor Signature,2017-06-24 04:24:29
DR00000497,Confidentiality Agreement,In External Review,2014-11-14 21:40:56,Negotiation Complete,2015-01-20 23:07:25
DR00000098,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001500,Confidentiality Agreement,Negotiation In Process,2016-06-10 22:43:01,In External Review,2016-06-21 17:26:48
DR00002539,Confidentiality Agreement,Negotiation In Process,2017-11-14 18:19:42,In External Review,2017-11-14 19:00:01
DR00001187,Contract,Agreement Received (Waiting for Data Entry),2016-01-06 21:06:37,Waiting for IRB Submission,2016-01-08 20:59:00
DR00001596,Contract,In External Review,2016-12-23 23:14:15,Waiting for IRB Approval of Study,2017-01-05 01:16:39
DR00000720,Confidentiality Agreement,In External Review,2015-04-07 17:42:58,Withdrawn,2015-12-09 00:06:12
DR00000330,Contract,Negotiation In Process,2015-01-22 23:31:02,In OHSU Review,2015-01-22 23:31:26
DR00001716,Contract,Initial,,Agreement Received (Waiting for Data Entry),
DR00001465,Confidentiality Agreement,Negotiation In Process,2016-05-20 17:36:58,In External Review,2016-05-23 23:37:45
DR00001846,Confidentiality Agreement,In External Review,2016-12-05 23:59:03,In OHSU Review,2016-12-06 15:40:49
DR00000311,Confidentiality Agreement,In External Review,2014-06-11 21:46:52,In OHSU Review,2014-06-17 18:29:36
DR00001973,Subcontract,In External Review,2017-07-12 20:52:32,In OHSU Review,2017-09-18 21:47:10
DR00000985,Contract,In External Review,2016-04-06 23:06:24,In OHSU Review,2016-05-05 17:28:46
DR00001807,Confidentiality Agreement,In External Review,2016-11-09 23:21:02,In OHSU Review,2016-11-14 19:49:37
DR00002144,Contract,In External Review,2017-06-22 22:44:22,In OHSU Review,2017-07-10 20:18:46
DR00000680,Contract,Negotiation In Process,2015-05-01 20:27:13,In External Review,2015-05-04 20:34:03
DR00001713,Contract,In External Review,2016-09-30 22:22:59,In OHSU Review,2016-10-06 02:10:19
DR00002657,Confidentiality Agreement,In External Review,2018-01-11 19:37:09,Negotiation Complete,2018-01-16 23:20:04
DR00002411,Amendment,In External Review,2017-10-09 22:16:16,Negotiation Complete,2017-10-16 20:38:00
DR00000539,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2014-11-21 19:58:29,Agreement Uploaded/ Waiting for Negotiation,2014-11-21 19:58:29
DR00000293,Contract,In External Review,2014-05-19 17:32:20,Negotiation Complete,2014-05-29 22:59:31
DR00001805,Confidentiality Agreement,In External Review,2016-12-21 17:37:31,Negotiation Complete,2017-01-03 21:33:24
DR00001245,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-02-04 18:00:05,Agreement Uploaded/ Waiting for Negotiation,2016-02-04 18:00:05
DR00002553,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2017-11-14 21:14:26,Agreement Uploaded/ Waiting for Negotiation,2017-11-14 21:14:26
DR00001212,Confidentiality Agreement,In External Review,2016-01-26 23:07:19,Negotiation Complete,2016-01-29 22:55:09
DR00000873,Confidentiality Agreement,Waiting for OHSU Signatures,2015-08-03 22:38:14,Waiting for Sponsor Signature,2015-08-11 21:11:11
DR00000300,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000568,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001318,Contract,Waiting for OHSU Signatures,2016-08-01 19:35:41,Waiting for Sponsor Signature,2016-08-17 19:46:36
DR00000151,Contract,In External Review,2014-02-14 23:33:41,In OHSU Review,2014-02-20 22:32:19
DR00001987,Contract,In External Review,2017-06-07 22:19:05,Waiting for Final Budget,2017-06-13 22:36:45
DR00000122,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001722,Confidentiality Agreement,Waiting for OHSU Signatures,2016-10-05 17:54:26,Waiting for Sponsor Signature,2016-10-12 18:35:30
DR00000302,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00001875,Confidentiality Agreement,Waiting for OHSU Signatures,2017-01-10 23:32:04,Waiting for Sponsor Signature,2017-01-18 19:18:55
DR00001954,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00000339,Amendment,Negotiation In Process,2014-06-25 00:23:04,Negotiation Complete,2014-06-25 00:24:30
DR00001076,Amendment,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002064,Contract,Waiting for IRB Approval of Study,2017-11-29 18:30:27,Withdrawn,2017-12-11 21:26:41
DR00000696,Confidentiality Agreement,In OHSU Review,2015-03-28 00:07:45,In External Review,2015-03-28 00:14:31
DR00001533,Confidentiality Agreement,In External Review,2016-07-07 21:05:28,In OHSU Review,2016-08-24 22:31:44
DR00000593,Contract,Pending SPA setup,2015-03-25 21:55:21,OGA Setup Complete,2015-03-27 11:00:05
DR00000407,Contract,In OHSU Review,2014-11-19 23:16:14,In External Review,2014-12-10 22:15:45
DR00001065,Contract,In External Review,2015-12-14 20:44:28,In OHSU Review,2015-12-16 00:34:26
DR00002212,Contract,Negotiation In Process,2017-05-25 20:19:53,In External Review,2017-06-06 19:13:20
DR00001978,Contract,Negotiation In Process,2017-03-08 18:45:55,In External Review,2017-03-28 00:11:37
DR00001109,Contract,Negotiation In Process,2015-11-09 22:42:05,In External Review,2015-12-15 17:10:30
DR00000582,Contract,Waiting for Final Budget,2015-04-14 18:13:48,Waiting for OHSU Signatures,2015-04-14 18:18:25
DR00001815,Contract,In OHSU Review,2017-05-01 15:49:06,In External Review,2017-05-03 22:57:39
DR00000517,Confidentiality Agreement,In External Review,2014-11-10 23:53:19,In OHSU Review,2014-11-13 18:12:19
DR00001392,Amendment,Negotiation In Process,2017-06-06 20:04:39,In OHSU Review,2017-06-06 20:07:31
DR00001533,Confidentiality Agreement,In External Review,2016-08-29 02:12:57,In OHSU Review,2016-09-01 17:32:48
DR00001112,Confidentiality Agreement,In External Review,2015-11-12 00:15:48,In OHSU Review,2015-11-16 16:53:07
DR00000615,Confidentiality Agreement,In External Review,2015-01-30 23:27:55,In OHSU Review,2015-02-02 17:29:40
DR00000321,Contract,In External Review,2014-09-11 17:51:26,In OHSU Review,2014-09-25 23:26:31
DR00002669,Amendment,In External Review,2018-01-17 16:10:11,In OHSU Review,2018-01-17 20:27:25
DR00002405,Confidentiality Agreement,In External Review,2017-09-06 18:52:12,In OHSU Review,2017-09-07 16:31:14
DR00001713,Contract,In External Review,2017-02-13 22:13:11,In OHSU Review,2017-05-08 20:51:35
DR00001427,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2016-05-02 23:55:14,Agreement Uploaded/ Waiting for Negotiation,2016-05-02 23:55:15
DR00000668,Confidentiality Agreement,In OHSU Review,2015-03-16 21:59:46,In External Review,2015-03-16 22:03:10
DR00002807,Confidentiality Agreement,Initial,,Agreement Uploaded/ Waiting for Negotiation,
DR00002635,Amendment,Negotiation In Process,2018-02-12 18:50:22,Negotiation Complete,2018-02-12 18:53:11
DR00000858,Contract,Waiting for OHSU Signatures,2015-10-28 20:59:44,Waiting for Sponsor Signature,2015-11-03 22:25:55
DR00000142,Confidentiality Agreement,Negotiation In Process,2014-02-05 20:11:26,Negotiation Complete,2014-02-05 20:11:39
DR00000698,Confidentiality Agreement,In OHSU Review,2015-03-24 23:09:36,In External Review,2015-04-08 18:09:27
DR00001891,Amendment,In External Review,2017-01-03 23:59:55,Negotiation Complete,2017-01-11 16:50:30
DR00001724,Contract,In OHSU Review,2017-03-14 21:33:26,In External Review,2017-05-09 21:33:26
DR00001260,Confidentiality Agreement,In OHSU Review,2016-03-15 19:01:14,In External Review,2016-03-15 19:03:10
DR00000106,Contract,In OHSU Review,2014-05-16 20:29:42,In External Review,2014-05-16 20:33:02
DR00001534,Contract,In OHSU Review,2016-11-08 00:13:50,Waiting for Final Budget,2016-11-08 19:32:47
DR00001637,Contract,Negotiation In Process,2017-01-17 21:24:46,In External Review,2017-03-10 16:45:28
DR00000591,Confidentiality Agreement,Agreement Received (Waiting for Data Entry),2015-01-13 21:18:42,Agreement Uploaded/ Waiting for Negotiation,2015-01-13 21:18:42
DR00001787,Confidentiality Agreement,In External Review,2016-10-27 18:57:17,Negotiation Complete,2016-10-27 19:09:37
DR00002477,Confidentiality Agreement,In External Review,2017-10-25 22:11:14,Negotiation Complete,2017-10-30 16:34:29
