eCRIS Contract Nbr,IRB Nbr,CRS Study Nbr,Contract Type,Contract Name,Study Sponsor,Master Agreement Flag,Template Agreement Flag,Contract Funding Mechanism,Originating Agency,Preaward Contact,Principal Investigator,Subcontractee,Contract Status,Contract Status Change Dt,Executed Dt,Negotiation Complete Dt,Negotiation Start Dt,Created Dt,Pending SPA Setup Dt,Hold Time,Industrial Acct Nbr,CT.gov Primary Completion Dt,CT.gov Study Completion Dt,OHSU Multicenter Study Flag,Study Type,Award Org Name,Study Phase,Drug - IND,Ongoing Study Flag,Clinical Services Flag,Drug Study Flag,PI Initiated Flag,OHSU PI is Lead PI Flag,IRB Approval Dt,IRB Expiration Dt,Review Category,IRB Status Change Dt,IRB Termination Dt,Cancer Study Flag,IRB Study Submitted Dt,Clinical Trial Flag,Prospective Consent Flag
DR00000272,IRB00010653,CRS00000411,Contract,Novartis (UBC) CTKI258AUS26 CTRF OHSU_Taylor,Novartis Pharmaceuticals Corporation,Yes,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2014-07-23 03:00:07,2014-07-16 01:02:04,2014-05-19 00:00:00,2014-05-12 16:35:00,2014-05-01 23:43:15,2014-07-15 17:02:06,0,100097044,,,No,Interventional,SM.Knight Phase I Clinical Trials,Phase 2,Yes,No,Yes,Yes,No,No,2014-06-23 07:00:00,2016-07-13 07:00:00,Waived,2016-07-13 15:10:00,,Yes,2014-04-17 16:28:41,Yes,Yes
DR00000302,,,Confidentiality Agreement,Stryker WEAVE CDA OHSU_Barnwell,Stryker Neurovascular,No,No,Contract,,Jacqueline Brown,Stanley Barnwell,,CDA Fully Executed,2014-06-13 13:12:25,2014-06-13 21:12:24,2014-05-23 00:00:00,2014-05-23 20:55:00,2014-05-23 20:46:59,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000331,,,Master Contract,Prostate Cancer Clinical Trials Consortium MCTA OHSU,Prostate Cancer Clinical Trials Consortium LLC,No,No,Contract,,Jacqueline Brown,Jacqueline Brown,,Master Fully Executed,2015-02-13 14:20:11,2015-02-13 22:20:10,2015-01-29 01:00:00,2014-09-10 21:09:00,2014-06-13 18:36:33,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000342,,,Confidentiality Agreement,Clovis (PRA) CVSC3812-C38125 CDA OHSU_Chui,Clovis Oncology,No,No,Contract,,Jacqueline Brown,Stephen Chui,,CDA Fully Executed,2014-07-07 14:50:37,2014-07-07 22:50:37,2014-07-07 11:26:52,2014-07-03 23:07:00,2014-07-01 23:41:43,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000357,,,Confidentiality Agreement,BMS CA184-437 CDA OHSU_Beer,Bristol-Myers Squibb Company,No,No,Contract,,Jacqueline Brown,Tomasz Beer,,CDA Fully Executed,2014-07-17 10:39:52,2014-07-17 18:39:52,2014-07-17 11:39:39,2014-07-17 18:38:00,2014-07-17 18:35:43,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000287,,,Confidentiality Agreement,Teva (PRA) XM02-ONC-201 CDA OHSU_Stork,Teva Pharmaceutical Industries Ltd,No,No,Contract,,Jacqueline Brown,Linda Stork,,CDA Fully Executed,2014-06-17 10:25:31,2014-06-17 18:25:30,2014-05-19 16:21:12,2014-05-13 23:30:00,2014-05-13 22:54:38,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000296,IRB00010602,CRS00000336,Contract,AnGes (Quintiles) AG-CLI-0206 CTA OHSU_Landry,AnGes Inc,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-11-06 04:00:09,2014-10-31 07:00:00,2014-10-15 14:53:38,,2014-05-20 20:10:53,2014-11-03 11:19:25,0,100096905,,,No,Interventional,SM.Surg Vascular,Phase 3,Yes,No,Yes,Yes,No,No,2014-06-27 07:00:00,2017-05-05 19:10:00,Full Board,2017-05-05 19:10:00,,No,2014-06-04 15:31:02,Yes,Yes
DR00000319,IRB00010691,CRS00000485,Contract,Blood Collection from BCR-ABL Positive CML Patients in Support of Premarket Approval Submission to the FDA,MolecularMD,No,No,Contract,, , ,,Withdrawn,2015-07-21 06:51:07,,,,2014-06-05 00:12:11,,0,100097025,,,No,Observational,SM.Knight Biolibrary,N/A,No,No,Yes,No,No,No,2014-07-08 07:00:00,2017-06-20 20:59:00,Expedited,2017-06-20 20:59:00,,Yes,2014-05-13 11:45:10,No,Yes
DR00000326,IRB00010715,CRS00000513,Contract,InVivo InVivo-100-101 CTA OHSU_Raslan,InVivo Therapeutics Corporation,No,No,Contract,,Jennifer Mair, ,,OGA Setup Complete,2014-11-25 04:00:05,2014-11-21 08:00:00,2014-10-29 14:01:59,,2014-06-11 18:04:32,2014-11-24 09:28:03,0,100096879,,,No,Interventional,SM.Neurosurgery Research,Phase 1,No,No,Yes,No,No,No,2014-09-16 07:00:00,2018-08-09 07:00:00,Full Board,2018-02-01 03:14:00,,No,2014-07-10 14:18:34,Yes,Yes
DR00000371,,,Confidentiality Agreement,Amgen 20090406 (226977) CDA OHSU_Deodhar,Amgen Inc,No,No,Contract,,Jennifer Mair,Atulya Deodhar,,Withdrawn,2014-09-16 12:02:24,,,2014-08-11 07:00:00,2014-07-31 19:08:18,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000385,IRB00010902,CRS00001033,Contract,Hologic Pap HPV CTA OHSU_Morgan,Hologic Inc,No,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2015-03-11 03:00:08,2015-02-09 08:00:00,2014-12-17 01:00:00,2014-10-17 07:00:00,2014-08-08 22:13:39,2015-03-06 16:32:47,0,100096766,2016-10-31 07:00:00,2016-11-30 08:00:00,No,Interventional,SM.PA AP Morgan,N/A,No,No,Yes,No,Yes,No,2014-08-13 07:00:00,2018-02-27 16:42:00,Expedited,2018-02-27 16:42:00,,No,2014-07-29 16:17:58,Yes,Yes
DR00000396,,,Confidentiality Agreement,Lilly (Quintiles) LY2439821 CDA OHSU_Deodhar,Lilly USA LLC,No,No,Contract,,Jennifer Mair,Atulya Deodhar,,CDA Fully Executed,2014-09-12 12:56:01,2014-09-12 20:56:00,2014-09-12 13:47:43,2014-08-20 07:00:00,2014-08-18 23:22:52,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000404,IRB00011045,CRS00001150,Contract,ISIS (ICON) 420915-CS3 CTA OHSU_Heitner,Isis Pharmaceuticals Inc,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2016-01-01 04:00:23,2015-11-25 08:00:00,2015-10-14 15:35:52,,2014-08-21 18:04:20,2015-12-21 11:41:08,0,100096376,,,No,Interventional,SM.KCVI Clinical Trials,N/A,Yes,No,Yes,Yes,No,No,2015-08-13 07:00:00,2018-08-09 07:00:00,Full Board,2017-11-15 03:05:00,,No,2015-07-16 17:02:08,Yes,Yes
DR00000441,IRB00011110,CRS00001219,Contract,Pfizer 212394 B5381002 USA CSA OHSU_Chu,Pfizer Inc,No,No,Contract,,Jennifer Mair, ,,Withdrawn,2015-07-27 09:08:05,,,,2014-09-16 18:35:15,,0,,,,No,Interventional,SM.ARD Administration,Phase 3,Yes,No,Yes,Yes,No,No,,,,2015-07-23 18:46:03,,No,,,Yes
DR00000402,,,Confidentiality Agreement,Novartis CQAX576C2201 CDA OHSU_Hanifin,Novartis Pharmaceuticals Corporation,No,No,Contract,,Jennifer Mair,Jon Hanifin,,Withdrawn,2015-04-30 14:58:01,,,2014-08-27 07:00:00,2014-08-21 15:40:32,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000414,IRB00010972,CRS00001045,Contract,Merck (Parexel) B1521021 CSA OHSU_Riddle,Merck Sharp & Dohme Corp,No,No,Contract,,Kristen Baptiste, ,,Withdrawn,2015-02-11 14:55:00,,,2014-11-19 18:13:00,2014-09-03 18:54:32,,0,,,,No,Interventional,"SM.Endocrinology, Section of Diabetes",Phase 3,Yes,No,Yes,Yes,No,No,2014-09-16 07:00:00,2015-09-15 07:00:00,Full Board,2014-11-25 22:19:57,,No,2014-09-02 13:16:19,,Yes
DR00000448,,,Confidentiality Agreement,Biogen Idec (Quintiles) STRATEGY 109MS412 CDA OHSU_Spain,Biogen Inc,No,No,Contract,,Jennifer Mair,Rebecca Spain,,CDA Fully Executed,2015-03-17 08:54:21,2015-03-17 16:54:20,2014-11-19 14:24:12,2014-09-18 18:42:00,2014-09-17 22:21:50,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000439,IRB00009713,CRS00000014,Amendment,OPKO Biologics (Inventiv) CP-4-005 Ext. Am 2 OHSU_Fleseriu,OPKO Biologics Ltd,No,No,Contract,,Jennifer Mair, ,,Amendment Fully Executed,2015-06-08 09:04:25,2015-06-08 17:04:22,2015-03-10 09:18:00,2014-12-24 08:00:00,2014-09-12 18:59:40,,0,100097246,,,No,Interventional,SM.Neurosurgery Research,Phase 3,Yes,No,Yes,Yes,No,No,2013-07-26 07:00:00,2019-03-22 07:00:00,Full Board,2017-10-16 14:37:00,,No,2013-07-02 08:30:59,Yes,Yes
DR00000452,IRB00010551,CRS00000332,Amendment,Amgen 20120363 Am 1 to CTA OHSU_Ehst,Amgen Inc,No,No,Contract,,Jennifer Mair, ,,Amendment Fully Executed,2014-09-25 08:14:01,2014-09-25 16:13:58,2014-09-19 10:20:21,2014-09-19 16:01:00,2014-09-18 19:54:08,,0,,,,No,Observational,SM.Dermatology Admin,N/A,No,No,No,No,No,No,2014-04-14 07:00:00,2017-03-07 21:00:00,Expedited,2017-03-07 21:00:00,,No,2014-04-01 14:10:52,Yes,Yes
DR00000461,,,Confidentiality Agreement,BMS CA209168 CDA OHSU_Taylor,Bristol-Myers Squibb,No,No,Contract,,Jacqueline Brown,Matthew Taylor,,CDA Fully Executed,2014-11-25 13:04:45,2014-11-25 21:04:44,2014-11-19 14:37:24,2014-09-30 20:16:00,2014-09-29 23:30:06,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000471,,,Confidentiality Agreement,Transgene SA (PPD) HCC CDA OHSU_Vaccaro,Transgene,No,No,Contract,,Jacqueline Brown,Gina Vaccaro,,CDA Fully Executed,2014-11-17 13:19:42,2014-11-17 21:19:41,2014-10-20 12:34:50,2014-10-15 00:04:00,2014-10-07 18:50:50,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000384,,,Confidentiality Agreement,TEVA (PRA) XM02-ONC-201 CDA OHSU_Malempati,Teva Pharmaceutical Industries Ltd,No,No,Contract,,Kristen Baptiste,Suman Malempati,,Withdrawn,2014-08-11 09:25:17,,,,2014-08-08 17:07:28,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000207,IRB00010503,CRS00000173,Contract,SJM PORTICO RA OHSU_Gupta,St Jude Medical Cardiology Division Inc,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-12-04 04:00:04,2014-09-30 07:00:00,2014-08-20 14:28:17,2014-07-02 21:32:00,2014-03-21 17:11:47,,0,100096876,,,No,Interventional,SM.Knight Cardiovascular Institute,Phase 3,No,No,Yes,No,No,No,2014-05-06 07:00:00,2016-05-20 20:33:00,Full Board,2016-05-20 20:33:00,,No,2014-04-10 10:07:31,Yes,Yes
DR00000212,,,Confidentiality Agreement,Allergan AGN-199201 20140319 CDA OHSU_Simpson,"Allergan, Inc.",No,No,Contract,,Jennifer Mair,Eric Simpson,,CDA Fully Executed,2014-04-30 09:11:57,2014-04-30 17:11:56,2014-04-14 12:24:58,2014-04-10 18:13:00,2014-03-26 22:16:32,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000229,,,Confidentiality Agreement,Baxter 061302 SPACE CDA OHSU_Recht,Baxter Healthcare Corporation,No,No,Contract,,Kristen Baptiste,Michael Recht,,CDA Fully Executed,2014-05-01 08:41:00,2014-05-01 16:40:59,2014-04-30 10:31:47,2014-04-23 22:01:00,2014-04-07 18:19:12,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000494,,,Confidentiality Agreement,"AstraZeneca D2210C0007, 0008, 00013 Master CDA PTL OHSU_Khan",AstraZeneca LP,No,No,Contract,,Kristen Baptiste,Akram Khan,,Withdrawn,2015-12-08 16:20:57,,,2014-10-27 19:34:00,2014-10-27 18:25:18,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000523,,,Confidentiality Agreement,Insmed (SynteractHCR) INS 212 CDA OHSU_Winthrop,Insmed Inc,No,No,Contract,,Jennifer Mair,Kevin Winthrop,,CDA Fully Executed,2014-12-09 13:13:09,2014-12-09 21:13:09,2014-11-18 14:11:07,2014-11-17 22:30:00,2014-11-13 22:29:12,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000508,,,Confidentiality Agreement,GSK AR1116442 CDA OHSU_Recht,GlaxoSmithKline LLC,No,No,Contract,,Kristen Baptiste,Michael Recht,,CDA Fully Executed,2014-12-08 14:15:45,2014-12-08 22:15:45,2014-11-14 14:59:10,2014-11-06 19:06:00,2014-11-05 18:40:33,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000622,,,Confidentiality Agreement,BIPI 1373.1 and 1373.3_BI 1361849 CDA OHSU_Cetnar,Boehringer Ingelheim Pharmaceuticals Inc,No,No,Contract,,Jacqueline Brown,Jeremy Cetnar,,CDA Fully Executed,2015-03-25 12:00:29,2015-03-25 20:00:28,2015-02-09 12:29:06,2015-02-03 08:00:00,2015-02-03 21:39:26,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000578,,,Confidentiality Agreement,Acerta Phase 2 Bladder Trial CDA OHSU_Ryan_Cetnar,Acerta Pharma LLC,No,No,Contract,,Jacqueline Brown,Christopher Ryan,,CDA Fully Executed,2015-01-16 09:34:35,2015-01-16 17:34:34,2015-01-07 13:58:50,2014-12-24 00:46:00,2014-12-24 00:27:39,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000602,,,Confidentiality Agreement,"Sunovion (Quintiles) 093-357, 093-359 and 093-363 CDA OHSU_Roberts","Sunovion Pharmaceuticals, Inc. (formerly Sepracor, Inc.)",No,No,Contract,,Kristen Baptiste,Colin Roberts,,CDA Fully Executed,2015-08-04 11:27:26,2015-08-04 19:27:26,2015-06-30 14:14:25,2015-01-29 23:48:00,2015-01-22 18:04:49,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000624,,,Confidentiality Agreement,Polynoma (ProTrials) 103A-301 NDA OHSU_Vetto,Polynoma LLC,No,No,Contract,,Jacqueline Brown,John Vetto,,CDA Fully Executed,2015-05-01 15:04:21,2015-05-01 23:04:20,2015-03-06 14:22:48,2015-02-11 02:33:00,2015-02-05 18:18:44,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000506,IRB00011252,CRS00001369,Contract,Merck MK-3475-055-0012 CTRA OHSU_Clayburgh,Merck Sharp & Dohme Corp,No,No,Contract,,Emily Purdin, ,,Withdrawn,2015-02-04 15:59:07,,,,2014-11-03 21:31:34,,0,,,,No,Interventional,SM.Otolaryngology,Phase 2,Yes,No,Yes,Yes,No,No,,,,2015-02-04 00:14:36,,Yes,,,Yes
DR00000592,,,Confidentiality Agreement,Bayer (INC) 1004997 CDA OHSU_Jensen,Bayer HealthCare Pharmaceuticals Inc,No,No,Contract,,Kristen Baptiste,Jeffery Jensen,,CDA Fully Executed,2015-02-17 13:33:10,2015-02-17 21:33:09,2015-02-12 16:17:56,2015-01-15 18:54:00,2015-01-13 21:36:46,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000595,IRB00011352,CRS00001445,Contract,Bayer BAY 59-793916573 CTA OHSU_Lutsep,Bayer HealthCare Pharmaceuticals Inc,Yes,No,Contract,,Jennifer Mair, ,,OGA Setup Complete,2015-05-12 03:00:14,2015-04-30 07:00:00,2015-04-21 10:18:56,2015-03-02 19:19:00,2015-01-15 20:06:12,2015-05-08 10:22:11,0,100096688,,,No,Interventional,SM.Neu Stroke,N/A,Yes,No,Yes,Yes,No,No,2015-02-12 08:00:00,2018-12-27 08:00:00,Full Board,2017-10-31 22:36:00,,No,2015-01-14 13:01:07,Yes,Yes
DR00000639,,,Confidentiality Agreement,Smith & Nephew NDA OHSU_Huff,Smith & Nephew Wound Management,No,No,Contract,,Jennifer Mair,Thomas Huff,,CDA Fully Executed,2015-05-15 14:13:03,2015-05-15 22:13:02,2015-02-24 13:14:21,2015-02-18 19:57:00,2015-02-14 00:39:18,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000590,IRB00011299,CRS00001502,Contract,Medtronic aCRT 2868 PI Research Agmt OHSU_Tereshchenko,Medtronic Inc,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2015-04-17 03:00:03,2015-04-10 07:00:00,2015-04-09 10:18:56,2015-02-10 08:00:00,2015-01-13 00:35:39,2015-04-15 10:42:54,0,100096711,,,No,Observational,SM.KCVI Cardiology,N/A,No,No,Yes,No,Yes,No,2015-03-06 08:00:00,2018-12-28 08:00:00,Full Board,2017-11-11 12:16:00,,No,2015-01-08 10:56:54,Yes,Yes
DR00000542,IRB00011256,CRS00001381,Contract,Celgene AX-PANC-PI-0053 PI Initiated CSGA OHSU_Vaccaro,Celgene Corporation,No,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2015-12-21 18:06:03,2015-12-21 08:00:00,2015-12-11 15:34:39,2015-01-10 00:51:00,2014-11-22 00:13:40,,0,100096365,,,No,Interventional,SM.Knight Clinical Trials,Phase 2,No,No,Yes,Yes,Yes,No,2015-02-12 08:00:00,2018-12-04 08:00:00,Full Board,2017-10-19 22:48:00,,Yes,2014-11-03 17:27:25,Yes,Yes
DR00000579,,,Confidentiality Agreement,MedImmune (PRA) Combination Immunotherapy Trial CDA OHSU_Taylor,MedImmune LLC,No,No,Contract,,Jacqueline Brown,Christopher Ryan,,Withdrawn,2015-01-08 14:20:41,,,2014-12-24 01:20:00,2014-12-24 00:40:12,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000656,,,Confidentiality Agreement,Clovis Oncology (PRA) TIGER 3 Program CDA OHSU_Tolba,Clovis Oncology,No,No,Contract,,Jacqueline Brown,Khaled Tolba,,CDA Fully Executed,2015-03-05 12:59:08,2015-03-05 20:59:07,2015-03-05 13:56:11,2015-02-21 00:44:00,2015-02-20 21:29:33,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000681,IRB00011533,CRS00001603,Contract,Merck SARC028 CTA OHSU_Davis,SARC,No,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2015-06-05 03:00:14,2015-05-29 01:27:04,2015-05-26 11:28:02,2015-05-06 17:59:00,2015-03-03 21:16:27,2015-05-28 17:27:06,0,100096635,,,No,Interventional,SM.Knight Sarcoma Trial Coordination,Phase 2,Yes,No,Yes,Yes,No,No,2015-05-12 07:00:00,2018-04-09 07:00:00,Full Board,2017-11-11 12:36:00,,Yes,2015-02-27 10:25:22,Yes,Yes
DR00000743,IRB00011563,CRS00001687,Contract,Vertex 04_VX14-661-109 Project Statement 4 OHSU_Powers,Vertex Pharmaceuticals Inc,Yes,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2015-09-18 03:00:07,2015-07-28 07:00:00,2015-07-27 13:44:22,2015-05-20 22:55:00,2015-04-13 18:55:38,2015-09-14 11:13:43,0,100096511,,,No,Interventional,SM.Pediatric Pulmonary,Phase 3,Yes,No,Yes,Yes,No,No,2015-04-24 07:00:00,2018-01-12 17:11:00,Full Board,2018-01-12 17:11:00,,No,2015-04-13 07:41:41,Yes,Yes
DR00000741,IRB00011721,CRS00001682,Contract,Philips 3D Fast Imaging and CEAR Imaging MRSA OHSU_Lindner,"Philips Ultrasound, Inc.",Yes,No,Contract,,Patrick Bareiss, ,,Contract Executed,2015-06-09 14:49:31,2015-06-08 07:00:00,2015-04-27 10:02:45,2015-04-10 20:18:00,2015-04-09 19:50:08,,0,,,,No,,,N/A,No,No,No,No,No,No,2015-04-15 07:00:00,2018-12-27 08:00:00,Expedited,2017-11-03 07:02:00,,No,2015-04-08 12:52:28,Yes,Yes
DR00000678,IRB00010235,CRS00000085,Amendment,Novartis CSOM230CUS33 ACCESS Am 2 to CTA OHSU_Fleseriu,Novartis Pharmaceuticals Corporation,No,No,Contract,,Jennifer Mair, ,,Amendment Fully Executed,2015-05-22 11:10:15,2015-05-22 19:10:13,2015-05-12 09:44:49,2015-03-24 23:01:00,2015-03-02 21:11:49,,0,100097072,,,No,Expanded Access,SM.Neurosurgery Research,Phase 4,Yes,No,Yes,Yes,No,No,2014-04-10 07:00:00,2016-02-23 23:58:00,Full Board,2016-02-23 23:58:00,,No,2014-03-19 12:31:07,Yes,Yes
DR00000702,,,Confidentiality Agreement,Amgen (Quintiles) TVEC 20110261 CDA OHSU_Malempati,Amgen Inc,No,No,Contract,,Patrick Bareiss,Suman Malempati,,CDA Fully Executed,2015-03-17 14:43:38,2015-03-17 22:43:37,2015-03-16 13:22:38,2015-03-16 20:18:00,2015-03-13 17:43:25,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000786,,,Confidentiality Agreement,AbbVie M12-815 CDA OHSU_Jensen,AbbVie Inc,No,No,Contract,,Kristen Baptiste,Jeffery Jensen,,CDA Fully Executed,2015-06-05 14:24:11,2015-06-05 22:24:11,2015-05-21 13:49:44,2015-05-04 22:59:00,2015-05-04 18:47:04,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000787,,,Confidentiality Agreement,AstraZeneca D5160C00021 Protocol Transmittal Letter OHSU_Cetnar,AstraZeneca AB,No,No,Contract,,Jacqueline Brown,Jeremy Cetnar,,CDA Fully Executed,2015-05-05 11:56:47,2015-05-05 19:56:46,2015-05-04 00:00:00,2015-04-30 07:00:00,2015-05-04 20:42:33,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000800,IRB00011754,CRS00001710,Contract,Leo Pharma LP0105-1032 CTA OHSU_Hanifin,LEO Pharma A/S,No,No,Contract,,Jennifer Mair, ,,Withdrawn,2015-12-01 10:24:13,,,2015-09-09 20:45:00,2015-05-11 16:12:46,,0,,,,No,Interventional,SM.Dermatology Admin,Phase 3,Yes,No,Yes,Yes,No,No,2015-05-29 07:00:00,2015-11-18 23:50:00,Full Board,2015-11-18 23:50:00,,No,2015-05-08 12:54:58,Yes,Yes
DR00000679,IRB00011543,CRS00001606,Contract,Lundbeck 14861B CTA OHSU_Erten-Lyons,Lundbeck LLC,No,No,Contract,,Jennifer Mair, ,,OGA Setup Complete,2015-04-28 03:00:11,2015-04-24 07:00:00,2015-03-02 16:41:56,2015-03-02 23:41:00,2015-03-02 23:31:36,2015-04-24 12:55:53,0,100096696,,,No,Interventional,SM.Neu Aging And Alzheimers,N/A,Yes,No,Yes,Yes,No,No,2015-01-15 08:00:00,2017-05-15 21:34:00,Full Board,2017-05-15 21:34:00,,No,2015-02-27 20:18:14,Yes,Yes
DR00000808,,,Confidentiality Agreement,NightstaRx CDA OHSU_Wilson,NightstaRx Ltd,No,No,Contract,,Jennifer Mair,David Wilson,,CDA Fully Executed,2015-06-10 12:39:22,2015-06-10 20:39:21,2015-06-05 15:15:43,2015-05-21 18:27:00,2015-05-14 22:58:16,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000671,,,Confidentiality Agreement,Amgen MCDA_OHSU FE 03JUN2015,Amgen Inc,No,No,Contract,,Jacqueline Brown,Jacqueline Brown,,CDA Fully Executed,2015-06-04 10:47:03,2015-06-04 18:47:02,2015-06-03 17:06:47,2015-03-17 17:50:00,2015-02-27 18:32:21,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000675,,,Confidentiality Agreement,Taiho Oncology PCCTC CDA OHSU_Beer,Taiho Oncology,No,No,Contract,,Emily Purdin,Tomasz Beer,,CDA Fully Executed,2015-03-04 10:30:45,2015-03-04 18:30:44,2015-03-03 10:11:23,2015-03-03 17:11:00,2015-02-27 22:10:29,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000758,,,Confidentiality Agreement,Ariad AP24534-14-203 CDA OHSU_Heinrich,ARIAD Pharmaceuticals Inc,No,No,Contract,,Jacqueline Brown,Michael Heinrich,,CDA Fully Executed,2015-06-08 14:23:45,2015-06-08 22:23:45,2015-04-22 16:48:47,2015-04-20 23:49:00,2015-04-16 21:33:49,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000673,,,Confidentiality Agreement,Asana Biosciences PCCTC CDA OHSU_Beer,Asana Biosciences LLC,No,No,Contract,,Emily Purdin,Tomasz Beer,,CDA Fully Executed,2015-03-04 10:27:37,2015-03-04 18:27:37,2015-02-26 01:00:00,2015-02-26 08:00:00,2015-02-27 21:53:54,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000714,,,Confidentiality Agreement,Emergent Biosolutions MPR209/ES414 CDA OHSU_Beer,"Emergent Product Development Seattle, LLC (formerly Trubion)",No,No,Contract,,Jacqueline Brown,Tomasz Beer,,CDA Fully Executed,2015-04-17 08:25:53,2015-04-17 16:25:52,2015-04-07 11:20:40,2015-03-28 01:07:00,2015-03-25 20:19:00,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000685,IRB00011506,CRS00001568,Contract,Pfizer A4061070 MaRCC Registry CTA OHSU_Ryan,Pfizer Inc,No,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2015-07-30 03:00:05,2015-07-28 07:00:00,2015-06-29 16:50:59,2015-05-07 21:42:00,2015-03-05 16:59:05,2015-07-28 08:46:44,0,,,,No,Observational,SM.Knight Sarcoma Trial Coordination,N/A,No,No,No,No,No,No,2015-07-15 07:00:00,2018-05-21 07:00:00,Expedited,2017-11-11 12:30:00,,Yes,2015-02-05 13:45:53,No,Yes
DR00000809,,,Confidentiality Agreement,Laguna Pharmaceuticals (Momentum Research) AF-AFL CDA OHSU_Henrikson,Laguna Pharmaceuticals Inc,No,No,Contract,,Kristen Baptiste,Charles Henrikson,,CDA Fully Executed,2015-06-19 11:52:16,2015-06-19 19:52:15,2015-06-17 14:31:23,2015-05-20 23:22:00,2015-05-15 19:28:56,,0,,,,,,,,,,,,,,,,,,,,,,
DR00000306,IRB00010672,CRS00000427,Contract,Amicus Koeller AT1001-041 CTA OHSU_Koeller,Amicus Therapeutics Inc,No,No,Contract,,Kristen Baptiste, ,,OGA Setup Complete,2014-11-11 04:00:05,2014-11-06 08:00:00,2014-11-04 14:19:01,,2014-05-29 21:18:05,2014-11-07 09:33:49,0,100096895,,,No,Interventional,SM.Peds Metab,Phase 3,Yes,No,Yes,Yes,No,No,2014-08-01 07:00:00,2016-08-03 07:00:00,Full Board,2016-11-15 23:46:29,2016-11-15 08:00:00,No,2014-06-10 14:16:15,,Yes
DR00000273,IRB00010674,CRS00000502,Contract,Ambit AC220-007 CTA OHSU_Traer,Ambit Biosciences Corporation,No,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2014-10-03 03:00:04,2014-09-25 20:38:44,2014-07-24 17:52:33,2014-07-17 07:00:00,2014-05-06 16:31:16,2014-09-25 12:38:46,0,100096971,,,No,Interventional,SM.Knight CHM Clin Trials,Phase 3,Yes,No,Yes,Yes,No,No,2014-07-11 07:00:00,2018-06-08 07:00:00,Full Board,2017-11-01 22:12:00,,Yes,2014-05-06 08:57:16,Yes,Yes
DR00000823,IRB00011733,CRS00001697,Contract,Acerta ACE-ST-003 CTA OHSU_Lopez,Acerta Pharma LLC,No,No,Contract,,Jacqueline Brown, ,,OGA Setup Complete,2015-07-16 03:00:06,2015-07-13 23:04:28,2015-06-04 12:05:22,2015-04-22 07:00:00,2015-05-22 19:05:45,2015-07-13 15:04:31,0,100096572,,,No,Interventional,SM.Knight Clinical Trials,Phase 2,Yes,No,Yes,Yes,No,No,2015-06-04 07:00:00,2017-05-18 07:00:00,Full Board,2017-03-08 16:50:14,2017-03-08 08:00:00,Yes,2015-04-13 17:59:51,,Yes
