"Project ID","Project PI: Full Name","OCTRI Project Status Change Date","Project Long Title","OCTRI Project Status","CTRC Status","Project Funding ID","Funding Award: Funding Award ID","Funding Award: Funding Source Name","Funding Award: Activity Type","Funding Award: Funding Type","Funding Award: Funding Status","Funding Award: Record Type","Funding Award: Reason OGA Not Set Up","Funding Award: Award Owning Org","Funding Award: OGA Award Number","Funding Award: Originating Sponsor","Funding Award: Originating Sponsor Type"
"PRJ-5465","Ho-Yann Jong","7/18/2016","Automated Quantification of REM Sleep Without Atonia in Neurocognitive Disorders","Withdrawn","N/A No CTRC Services","ProjFund-5492","FA-09033","DHHS NIH Natl Inst on Aging","P30","Federal DHHS Individual Draw","Awarded","OGA Award","","SM.Neu Aging And Alzheimers","ANEUR0840","",""
"PRJ-5289","Carlos Crespo","5/13/2016","Enhancing Cross-disciplinary Infrastructure Training at Oregon (EXITO)","Approved Post-IRB","N/A No CTRC Services","ProjFund-5253","FA-08750","Portland State Univ.","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Medical Informatics & Clinical Epidemiology","ASMMI0214","DHHS NIH Natl Inst of General Medical Science","Federal"
"PRJ-6318","Bory Kea","11/28/2017","Ortho-NP ProBNP Study","Approved Pre-IRB","Pending","ProjFund-6434","FA-11869","Ortho Clinical Diagnostics","","Industry","Pre-Award","Non-OGA Award","","","","",""
"PRJ-5281","Bory Kea","8/7/2017","Determining interventions to improve management of thrombotic and pro-thrombotic diseases from the Emergency Department (ED)","Approved Post-IRB","N/A No CTRC Services","ProjFund-5245","FA-09269","N. L. Tartar Trust","Not Applicable","Foundation","Awarded","Non-OGA Award","General Ledger Account","","","",""
"PRJ-5200","Bory Kea","2/16/2016","Optimization of Oral Anticoagulation in Acute Atrial Fibrillation","Approved Post-IRB","N/A No CTRC Services","ProjFund-5110","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-5202","Bory Kea","3/9/2016","REal World EVidence for TrEAtment of HyperkaLemia in the Emergency Department (REVEAL ? ED): a Multicenter, Prospective, Observational Study","Complete","Terminated","ProjFund-5112","FA-09059","ZS Pharma, Inc.","Not Applicable","Industry","Not Awarded","Non-OGA Award","","","","",""
"PRJ-5201","Bory Kea","1/9/2017","A randomized, open label, parallel group, Multicenter study to evaluate early emERgency department disCharge &rivaroxaban oUtpatient theRapY versus local standard of care in patients with a diagnosis of pulmonary embolism at low risk for recurrent veno","Complete","Terminated","ProjFund-5552","FA-09871","Janssen Scientific Affairs LLC","Not Applicable","Industry","Awarded","OGA Award","","SM.Emergency Medicine","AEMME0173","",""
"PRJ-4593","Bory Kea","2/26/2014","Optimization of Oral Anticoagulation Strategies in Acute Atrial Fibrillation","Approved Non-IRB","N/A No CTRC Services","ProjFund-4846","FA-00864","DHHS NIH Natl Heart, Lung, and Blood Inst","K12","Federal DHHS LOC","Awarded","OGA Award","","SM.Emergency Medicine","AEMME0115","",""
"PRJ-4593","Bory Kea","2/26/2014","Optimization of Oral Anticoagulation Strategies in Acute Atrial Fibrillation","Approved Non-IRB","N/A No CTRC Services","ProjFund-4349","FA-06881","DHHS NIH Natl Heart, Lung, and Blood Inst","K12","Federal","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-4071","Summer Dowell","9/12/2012","Nerve-specific near-infrared fluorescent contrast agents for image-guided surgery","Approved Pre-IRB","N/A No CTRC Services","ProjFund-4167","FA-01701","DHHS NIH Natl Ctr for Advancing Translational Sciences","UL1","Federal DHHS LOC","Awarded","OGA Award","General Ledger Account ? Strategic Investment","CT.OCTRI-OR Clin Trans Res Ins","ACTRI0701","",""
"PRJ-4071","Summer Dowell","9/12/2012","Nerve-specific near-infrared fluorescent contrast agents for image-guided surgery","Approved Pre-IRB","N/A No CTRC Services","ProjFund-3562","FA-01033","DHHS NIH Natl Inst of Biomedical Imaging & Bioengineering","K01","Federal DHHS LOC","Awarded","OGA Award","","SM.BME-Gibbs","ABMEN0162","",""
"PRJ-3356","Ana Quinones","7/17/2013","Complex Chronic Care Needs of Ethnically Diverse Older Americans","Approved Pre-IRB","N/A No CTRC Services","ProjFund-3442","FA-04134","American Diabetes Association","","Foundation","Awarded","OGA Award","","SM.Fam Med Department Admin","APHPM0217","",""
"PRJ-4900","Sarah Hourston","5/23/2017","Dietary Intake and Behaviors in Adults with Autism Spectrum Disorders","Complete","Terminated","ProjFund-5016","FA-08830","DHHS NIH Natl Ctr for Complementary & Integrative Health","T32","Federal DHHS Individual Draw","Awarded","OGA Award","","SM.Neu ORCCAMIND/EEG","ANEUR0830","",""
"PRJ-4524","Pamela Curtis","2/27/2015","Spreading Patient-centered Evidence to Enhance Care Delivery (SPEED)","Approved Pre-IRB","N/A No CTRC Services","ProjFund-4259","FA-06688","DHHS Agency for Hlthcare Rsch and Quality","Not Applicable","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-4155","Pamela Curtis","12/20/2012","Demographic determinants of prevention health and wellness","Excluded","","ProjFund-3839","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4618","Pamela Curtis","7/31/2014","Pay for Prevention -- Oregon Child Welfare Data Analysis","Complete","N/A No CTRC Services","ProjFund-4380","FA-03260","Oregon Community Foundation","","Foundation","Awarded","OGA Award","","SM.Center for Evidence-Based Policy","ACEBP0009","",""
"PRJ-5127","Kenton Gregory","11/5/2015","A double-blind, randomized, sham-controlled study of the safety and effectiveness of the Portable Neuromodulation Stimulator (PoNS?) 4.0 device for cranial nerve noninvasive neuromodulation (CN-NINM) training in subjects with a chronic balance deficit","Approved Post-IRB","Closed to Entry","ProjFund-5390","FA-09567","HELIUS Medical Technologies/NeuroHabilitation Inc","","Federal DOD","Awarded","OGA Award","","RG.Regenerative Medicine","AOCRM0013","U.S. Army Medical Research and Materiel Command","Federal"
"PRJ-5127","Kenton Gregory","11/5/2015","A double-blind, randomized, sham-controlled study of the safety and effectiveness of the Portable Neuromodulation Stimulator (PoNS?) 4.0 device for cranial nerve noninvasive neuromodulation (CN-NINM) training in subjects with a chronic balance deficit","Approved Post-IRB","Closed to Entry","ProjFund-5021","FA-08863","HELIUS Medical Technologies","Not Applicable","Industry","Awarded - Linked to OGA Award","Non-OGA Award","","","","",""
"PRJ-3361","Kenton Gregory","6/25/2012","Clinical Treatment of Severe Extremity Injury Complicated by Compartment Syndrome with Autologous Bone Marrow Mononuclear Cells","Proposal Development","Pending","ProjFund-3447","FA-02757","Oregon Biomedical Engineering Institute Inc","","Federal DOD","Awarded","OGA Award","","RG.Regenerative Medicine","AOCRM0003","U.S. Army Medical Rsch Acquisition Activity","Federal"
"PRJ-5534","Jacqueline Lamme","6/16/2016","Effectiveness of LARC Forward Contraceptive Counseling and Same Day Placement in a Community College Population: A randomized intervention project","Approved Post-IRB","N/A No CTRC Services","ProjFund-6038","FA-10081","Society of Family Planning (SFP)","","Foundation","Awarded","OGA Award","","SM.OB/GYN Generalist Division","AOBGY0309","",""
"PRJ-4478","Neha Garg","6/19/2015","Utility, reliability of Patient Reported Outcomes in various rheumatic diseases; Comparison of patient reported outcomes with traditionally used outcomes in various rheumatic diseases","Withdrawn","N/A No CTRC Services","ProjFund-4212","FA-07072","Patient-Centered Outcomes Research Institute (PCORI)","Not Applicable","Foundation","Not Submitted","Non-OGA Award","","","","",""
"PRJ-4478","Neha Garg","6/19/2015","Utility, reliability of Patient Reported Outcomes in various rheumatic diseases; Comparison of patient reported outcomes with traditionally used outcomes in various rheumatic diseases","Withdrawn","N/A No CTRC Services","ProjFund-4213","FA-06728","Collins Medical Trust","Not Applicable","Foundation","Not Submitted","Non-OGA Award","","","","",""
"PRJ-11091","Mark Hornbrook","11/12/2009","Wellderly Study","Complete","N/A No CTRC Services","ProjFund-2037","FA-07189","National Institutes of Health - unknown institute","Could Not Determine","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-11271","Mark Hornbrook","1/11/2010","Methods for Estimating the Incidence and Prevalence of Amyotrophic Lateral Sclerosis in the U.S. Population.","Complete","N/A No CTRC Services","ProjFund-3711","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-11269","Mark Hornbrook","1/11/2010","Medical Care Burden of Cancer: System and Data Issues","Complete","N/A No CTRC Services","ProjFund-2052","FA-06802","DHHS NIH Natl Cancer Inst","R01","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-11266","Eric Johnson","1/8/2010","Managing Deep Vein Thrombosis and Pulmonary Embolism in the Community Setting: A retrospective cohort study at Kaiser Permanente Northwest","Complete","N/A No CTRC Services","ProjFund-4478","FA-07805","","Could Not Determine","","Could Not Determine","Non-OGA Award","","","","",""
"PRJ-10118","Eric Johnson","8/6/2009","The use of Angiotension Converting Enzyme Inhibitors (ACEIs) and Chronic Kidney Disease","Complete","N/A No CTRC Services","ProjFund-3516","FA-07468","Kaiser Fnd Hospitals Ctr for Hlth Rsch","Pilot Project","","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-11080","Njeri Karanja","4/30/2008","Prevention of Overweight in Children (PTOTS)","Complete","","ProjFund-1935","FA-06894","DHHS NIH Natl Heart, Lung, and Blood Inst","U01","Federal","Awarded","Non-OGA Award","Pending OGA Setup","","","",""
"PRJ-669","Njeri Karanja","3/23/2013","Comparison of health benefits and risks of high carbohydrate/low fat or very low carbohydrate diets for weight loss","Complete","Terminated","ProjFund-3030","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-816","Njeri Karanja","3/12/2013","Metabolic Consequences of Low and High Carbohydrate Diets (a.k.a. Insight Weight Loss Study)","Complete","Terminated","ProjFund-1260","FA-04162","Kaiser Fnd Hospitals Ctr for Hlth Rsch","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.HSM Administration","AEDCN0152","DHHS NIH Natl Ctr for Complementary & Integrative Health","Federal"
"PRJ-645","Lynn DeBar","11/17/2011","YOUTH, Osteoporosis, and Understanding Total Health (YOUTH)","Complete","Terminated","ProjFund-3596","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-11321","Lynn DeBar","2/19/2010","Yoga for the Management of Chronic Low Back Pain among Older Adults","Complete","N/A No CTRC Services","ProjFund-4455","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-10963","Lynn DeBar","7/12/2012","Use of Acupuncture for Chronic Pain within an Integrated Health Plan","Complete","N/A No CTRC Services","ProjFund-1646","FA-01672","Kaiser Foundation Research Institute","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Fam Med Department Admin","AFAMP0108","DHHS NIH Natl Ctr for Complementary & Integrative Health","Federal"
"PRJ-11074","David Feeny","8/8/2012","Developing Health-Related Quality of Life Measurement Tools to Enhance Research and Treatment for Methamphetamine Substance Abuse","Complete","N/A No CTRC Services","ProjFund-1916","FA-07469","Kaiser Fnd Hospitals Ctr for Hlth Rsch","Pilot Project","","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-10643","David Feeny","3/3/2009","Using Measures of Health-Related Quality of Life and Patient Activation to Assist in Managing Patients' Chronic Pain","Complete","N/A No CTRC Services","ProjFund-1478","FA-07805","","Could Not Determine","","Could Not Determine","Non-OGA Award","","","","",""
"PRJ-10642","David Feeny","3/3/2009","Using Measures of Health-Related Quality of Life and Patient Activation to Assist in Managing Patients with Diabetes","Complete","N/A No CTRC Services","ProjFund-1153","FA-07139","Garfield Foundation","Not Applicable","Foundation","Not Awarded","Non-OGA Award","","","","",""
"PRJ-10885","David Feeny","6/10/2009","Enhancing Patient Management with Web-based Patient Reported Outcome Assessments","Complete","N/A No CTRC Services","ProjFund-1571","FA-07221","National Institutes of Health - unknown institute","Not Applicable","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-10022","Adrianne Feldstein","6/17/2007","Focusing Implementation to Bring Effective Reminders: FIBER","Complete","","ProjFund-3668","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-11263","Adrianne Feldstein","1/8/2010","Effectiveness of Bisphosphonate Therapy in Preventing Fractures Among At-Risk Women in Real-World Setting  (PAI)","Complete","N/A No CTRC Services","ProjFund-2526","FA-06789","Merck & Co., Inc.","Could Not Determine","Industry","Could Not Determine","Non-OGA Award","","","","",""
"PRJ-11259","Adrianne Feldstein","1/8/2010","Relationship of Primary Care Variation in the Prevention of CVD & Diabetes (DCPI-NW)","Complete","N/A No CTRC Services","ProjFund-2049","FA-06886","DHHS NIH Natl Heart, Lung, and Blood Inst","Need to Determine","Federal","Need to Determine","Non-OGA Award","","","","",""
"PRJ-11258","Adrianne Feldstein","1/8/2010","Using IT to Improve the Quality of CVD Prevention & Management (PRAVCO)","Complete","N/A No CTRC Services","ProjFund-2523","FA-07430","National Institutes of Health - unknown institute","Need to Determine","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-11257","Adrianne Feldstein","1/8/2010","Harnessing Technology to Improve Patient Panel Care Quality and Safety (PST)","Complete","N/A No CTRC Services","ProjFund-2048","FA-07138","Garfield Foundation","Not Applicable","Foundation","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-11256","Adrianne Feldstein","1/8/2010","Weight in Secondary Prevention (WISP)","Complete","N/A No CTRC Services","ProjFund-2522","FA-07487","DHHS NIH Natl Inst of Diab & Digest & Kid Diseases","R21","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-10920","Adrianne Feldstein","3/16/2011","Incidence and Demography of hip fractures with and without atypical features in an HMO","Complete","N/A No CTRC Services","ProjFund-1589","FA-06788","Merck & Co., Inc.","Not Applicable","Industry","Awarded - Linked to OGA Award","Non-OGA Award","","","","",""
"PRJ-10920","Adrianne Feldstein","3/16/2011","Incidence and Demography of hip fractures with and without atypical features in an HMO","Complete","N/A No CTRC Services","ProjFund-4666","FA-03619","Kaiser Fnd Hospitals Ctr for Hlth Rsch","","Industry","Awarded","OGA Award","","SM.Endocrinology, Section of Bone & Mineral","AEDCN0244","Merck & Co., Inc.","Industry"
"PRJ-10801","Jeffrey Fellows","6/30/2013","Inpatient Technology-Support Assisted Referral (I-TSAR): Call it Quits","Complete","N/A No CTRC Services","ProjFund-2042","FA-06004","Kaiser Foundation Research Institute","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.PUL Administration","APULM0157","DHHS NIH Natl Heart, Lung, and Blood Inst","Federal"
"PRJ-11092","Andrew Glass","11/12/2009","SCOPES: Creating program to ID isotopes in KARE","Complete","N/A No CTRC Services","ProjFund-3713","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4484","Carla Green","10/22/2013","Kaiser: STRIDE+","Complete","N/A No CTRC Services","ProjFund-4219","FA-07477","DHHS NIH Natl Inst of Mental Hlth","R01","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-10735","Carla Green","5/10/2009","Enhancing Opioid Management Using Process Improvement and Electronic Support","Complete","N/A No CTRC Services","ProjFund-1243","FA-07255","National Institutes of Health - unknown institute","R01","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-10468","Carla Green","12/13/2010","Reducing Weight and Diabetes Risk in an Underserved Population","Complete","N/A No CTRC Services","ProjFund-1477","FA-07475","DHHS NIH Natl Inst of Diab & Digest & Kid Diseases","R01","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-4598","Carla Green","8/19/2016","Service Dogs and Veterans with Psychiatric Disabilities (PAWS Study","Complete","N/A No CTRC Services","ProjFund-4355","FA-07442","Kaiser Fnd Hospitals Ctr for Hlth Rsch","Not Applicable","","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-5171","Nicole Weiskopf","3/22/2016","Development and Evaluation of an EHR Data Quality Assessment Tool","Approved Post-IRB","Terminated","ProjFund-5207","FA-09071","DHHS NIH Natl Ctr for Advancing Translational Sciences","UL1","Federal DHHS LOC","Awarded","OGA Award","","CT.OCTRI-OR Clin Trans Res Ins","ACTRI1001","",""
"PRJ-6256","Nicole Weiskopf","10/19/2017","Measuring and improving data quality for clinical quality measure reliability","Approved Post-IRB","N/A No CTRC Services","ProjFund-6390","FA-11694","DHHS NIH Natl Library of Medicine","K01","Federal DHHS Individual Draw","Awarded","OGA Award","","SM.Medical Informatics & Clinical Epidemiology","ASMMI0266","",""
"PRJ-5136","Jamison Nielsen","3/16/2015","EPIC data of CPK Values","Approved Pre-IRB","N/A No CTRC Services","ProjFund-5029","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-11265","David Smith","12/6/2011","Kaiser Permanente Northwest's Patients with Heart Failure: Predicting Mortality, Healthcare Costs and Cardiovascular Hospitalization (Heart Failure)","Withdrawn","","ProjFund-4477","FA-07805","","Could Not Determine","","Could Not Determine","Non-OGA Award","","","","",""
"PRJ-10194","Victor Stevens","1/31/2008","Testing Effectiveness and Reach of an Internet-Based Dietary Change Intervention","Complete","","ProjFund-3678","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-11276","William M. Vollmer","1/11/2010","Use of IVR Technology to Promote Medication Adherence with Inhaled Corticosteroids.","Complete","N/A No CTRC Services","ProjFund-2528","FA-07482","Office of National Center for Public Health Informatics, CDC","R01","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-11058","Evelyn P. Whitlock","10/26/2009","Expert Community Input in Translating Evidence gaps into Research","Complete","N/A No CTRC Services","ProjFund-1848","FA-06868","DHHS NIH Natl Ctr for Rsch Resources","Could Not Determine","Federal","Awarded","Non-OGA Award","External - tracking financial","","","",""
"PRJ-11314","Evelyn P. Whitlock","2/10/2010","Comparative Effectiveness in Genomic and Personalized Medicine for Colon Cancer","Complete","","ProjFund-2104","FA-06804","DHHS NIH Natl Cancer Inst","RC2","Federal","Awarded","Non-OGA Award","Pending OGA Setup","","","",""
"PRJ-11377","Valerie Anderson","8/31/2014","Quantitative Measurement of Cerebrovascular Permeability in Early Dementia","Complete","N/A No CTRC Services","ProjFund-2157","FA-00083","DHHS NIH Natl Inst on Aging","K25","Federal DHHS LOC","Awarded","OGA Award","","AI.Advanced Imaging Research Center","ANEUS0072","",""
"PRJ-852","Valerie Anderson","4/4/2008","Pain and Parkinson's disease: the role of the thalamus","Complete","N/A No CTRC Services","ProjFund-3700","FA-07804","","Not Applicable","","N/A","Non-OGA Award","","","","",""
"PRJ-4503","Valerie Anderson","9/22/2014","In vivo permeability of the human blood-cerebrospinal fluid barrier in dementia","Complete","N/A No CTRC Services","ProjFund-4874","FA-00083","DHHS NIH Natl Inst on Aging","K25","Federal DHHS LOC","Awarded","OGA Award","","AI.Advanced Imaging Research Center","ANEUS0072","",""
"PRJ-4503","Valerie Anderson","9/22/2014","In vivo permeability of the human blood-cerebrospinal fluid barrier in dementia","Complete","N/A No CTRC Services","ProjFund-4238","FA-06968","DHHS NIH Natl Inst on Aging","R21","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-11495","Richard Mularski","4/16/2010","Improving Palliative Care in the ICU","Complete","","ProjFund-2256","FA-07083","Robert Wood Johnson Fnd","Need to Determine","Foundation","Awarded","Non-OGA Award","Pending OGA Setup","","","",""
"PRJ-10681","Richard Mularski","2/10/2010","Library services to conduct a systematic review of the literature and retrieve articles on the subject of Crisis Dyspnea Palliative Management of Crisis Dyspnea","Complete","","ProjFund-4476","FA-07805","","Could Not Determine","","Could Not Determine","Non-OGA Award","","","","",""
"PRJ-10679","Richard Mularski","3/3/2009","Nursing's Specific Contributions to Quality Palliative Care within the Context of Interdisciplinary Intensive Care Practice","Complete","","ProjFund-1192","FA-07278","National Palliative Care Research Center","Not Applicable","Foundation","Not Awarded","Non-OGA Award","","","","",""
"PRJ-11275","Richard Mularski","1/11/2010","Chronic Obstructive Pulmonary Disease - Comparative Effectiveness Research","Complete","N/A No CTRC Services","ProjFund-2058","FA-06887","DHHS NIH Natl Heart, Lung, and Blood Inst","Could Not Determine","Federal","Not Awarded","Non-OGA Award","","","","",""
"PRJ-10925","Richard Mularski","7/28/2009","Inhaled Respiratory Therapeutic Adherence and Persistence in COPD","Complete","","ProjFund-1592","FA-06730","COPD Foundation, Inc.","Not Applicable","Industry","Awarded","Non-OGA Award","Pending OGA Setup","","","",""
"PRJ-10902","Richard Mularski","7/1/2009","CONCERT-Clinical Effectiveness Research (CONCERT-CER)","Complete","N/A No CTRC Services","ProjFund-1651","FA-07490","DHHS NIH Natl Heart, Lung, and Blood Inst","RC2","Federal","Awarded","Non-OGA Award","External - not tracking financial","","","",""
"PRJ-10901","Richard Mularski","9/1/2009","COPD Outcomes-based Network for Clinical Effectiveness and Research Translation","Complete","N/A No CTRC Services","ProjFund-1583","FA-07845","DHHS NIH Natl Heart, Lung, and Blood Inst","RC2","Federal","Awarded","Non-OGA Award","External - not tracking financial","","","",""
"PRJ-10426","Richard Mularski","2/9/2009","Setting Effectiveness and Translational Research Priorities to Improve COPD Care","Complete","N/A No CTRC Services","ProjFund-1188","FA-06684","DHHS Agency for Hlthcare Rsch and Quality","R13","Federal","Awarded","Non-OGA Award","External - not tracking financial","","","",""
"PRJ-2383","Andrew Ahmann","11/12/2012","A Performance Evaluation of the Enlite Glucose Sensor to Support a Full 144 hours (6 days) of Use. Protocol Number: DEP247/Z25/C","Complete","Terminated","ProjFund-2957","FA-05674","Medtronic MiniMed Inc","","Industry","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0272","",""
"PRJ-4671","Andrew Ahmann","6/17/2015","PTL-901200 Version 01: Effectiveness and Safety Study of the Dexcom G4® PLATINUM with Spritz Algorithm Continuous Glucose Monitoring System in Pediatrics Subjects with Diabetes Mellitus","Complete","Terminated","ProjFund-4404","FA-06734","DexCom Inc","Not Applicable","Industry","Awarded - Linked to OGA Award","Non-OGA Award","N/A","","","",""
"PRJ-4671","Andrew Ahmann","6/17/2015","PTL-901200 Version 01: Effectiveness and Safety Study of the Dexcom G4® PLATINUM with Spritz Algorithm Continuous Glucose Monitoring System in Pediatrics Subjects with Diabetes Mellitus","Complete","Terminated","ProjFund-4701","FA-06516","DexCom Inc","","Industry","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0316","",""
"PRJ-4306","Andrew Ahmann","6/17/2013","A Randomized,Open-Label,Long-Term,Parallel-Group, Comparator-Controlled, Multicenter Study to Compare  Glycemic Effects,Safety & Tolerability of Exenatide Once Wkly Suspension to Exenatide 2X Daily in Subjects W/ Type 2 Diabetes Mellitus. Protocol: BCB118","Complete","N/A No CTRC Services","ProjFund-4004","FA-05052","Amylin Pharmaceuticals LLC","","Industry","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0292","",""
"PRJ-5476","Andrew Ahmann","2/8/2016","Animas HHM Pivotal","In Review","Pending","ProjFund-5505","FA-09838","Animas","","Industry","Pre-Award","Non-OGA Award","","","","",""
"PRJ-3283","Andrew Ahmann","1/29/2015","FLuctuATion reduction with inSUlin and Glp-1 Added togetheR (FLAT-SUGAR)","Complete","Terminated","ProjFund-3401","FA-03053","Univ. of Washington","","Industry","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0280","Sanofi-Aventis US","Industry"
"PRJ-2027","Andrew Ahmann","3/27/2013","VAPORHCS / OHSU J: Glycemia Reduction Approaches in Diabetes: A Comparative Effectiveness Study (GRADE)","Approved Post-IRB","Closed to Entry","ProjFund-2760","FA-04287","George Washington Univ.","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0290","DHHS NIH Natl Inst of Diab & Digest & Kid Diseases","Federal"
"PRJ-5659","Andrew Ahmann","10/16/2017","Effectiveness and Safety of the Dexcom? G6 Continuous Glucose Monitoring System","Complete","Terminated","ProjFund-5877","FA-10688","DexCom Inc","","Industry","Pre-Award","Non-OGA Award","","","","",""
"PRJ-4480","Andrew Ahmann","12/9/2016","YSI Feasibility Study of the Dexcom CGM System in Adults and Pediatrics with Diabetes Mellitus","Approved Post-IRB","Active","ProjFund-4215","FA-05705","DexCom Inc","","Industry","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0306","",""
"PRJ-2725","Andrew Ahmann","6/7/2012","A Randomized, Double-Blind, Placebo-controlled, Parallel Group, Phase 2 Pilot Study to Explore the Safety, Pharmacokinetics and Pharmacodynamics of Dapagliflozin as an Add-on to Insulin Therapy in Subjects with Type 1 Diabetes Mellitus","Withdrawn","","ProjFund-3087","FA-06719","Bristol-Myers Squibb Company","Not Applicable","Industry","Not Awarded","Non-OGA Award","","","","",""
"PRJ-964","Andrew Ahmann","12/19/2012","MEXELIN - Metformin, Exenatide, and Glargine Insulin in Combination for Treatment of Patients with Type 2 Diabetes. Protocol 2993-801.","Complete","Terminated","ProjFund-1311","FA-05073","Lilly Research Laboratories","","Industry","Awarded","OGA Award","","SM.Endocrinology, Section of Diabetes","AEDCN0185","",""
"PRJ-10813","Andrew Ahmann","4/24/2009","The Use of Continuous Glucose Monitoring to Improve Behavior and Glycemic Control in Type 2 Diabetes","Complete","N/A No CTRC Services","ProjFund-3482","FA-03327","iSense","","Industry","Awarded","OGA Award","","SM.Endocrinology, Section of Diabetes","AEDCN0189","",""
"PRJ-11054","Andrew Ahmann","8/1/2009","A Phase I Trial of Proleukin and Rapamune in Recent-onset Type 1 Diabetes Mellitus","Complete","Terminated","ProjFund-1803","FA-04218","Univ. of California, San Francisco","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0228","DHHS NIH Natl Inst of Allergy & Infectious Disease","Federal"
"PRJ-11053","Andrew Ahmann","10/11/2012","Oral Insulin for the Prevention of Diabetes in Relatives for Type 1 Diabetes Mellitus","Approved Post-IRB","Closed to Entry","ProjFund-2632","FA-01918","Univ. of South Florida","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0226","DHHS NIH Natl Inst of Diab & Digest & Kid Diseases","Federal"
"PRJ-11016","Andrew Ahmann","8/25/2009","MKC-TI-117-  Evaluating the   of Technosphere?  Insulin Inhalation Powder in Combination with Lantus?  Vs Humalog?  in Combination with Lantus? in Subjects with Type 1 DM Over a 16-Wk Tx Period","Complete","N/A No CTRC Services","ProjFund-1717","FA-02955","MannKind Corporation","","Industry","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0227","",""
"PRJ-10438","Andrew Ahmann","8/29/2014","A Randomized, Open-Label, Multicenter, Comparator-Controlled Study to Examine the Effects of Exenatide on Glucose Control (HbA1c) and Safety in Type 2 DM Managed with Diet Modification and Exercise and/or Oral Antidiabetic Medications","Complete","Terminated","ProjFund-1113","FA-01383","Amylin Pharmaceuticals LLC","","Industry","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0180","",""
"PRJ-10879","Andrew Ahmann","7/31/2009","TrialNet Natural History Study of the Development of Type 1 Diabetes","Approved Post-IRB","Active","ProjFund-3154","FA-01918","Univ. of South Florida","","Federal DHHS NON LOC","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0226","DHHS NIH Natl Inst of Diab & Digest & Kid Diseases","Federal"
"PRJ-4966","Andrew Ahmann","1/18/2017","The T1D Exchange Type 1 Diabetes Network Ancillary Study: Residual C-Peptide in Patients with Type 1 Diabetes","Approved Post-IRB","Closed to Entry","ProjFund-4597","FA-04088","Jaeb Ctr for Hlth Rsch Inc","","Foundation","Awarded","OGA Award","","SM.Diabetes Center","AEDCN0246","Leona M. and Harry B. Helmsley Charitable Trust","Foundation"
"PRJ-4517","Andrew Ahmann","12/4/2013","Effectiveness and Safety Study of the Dexcom? G4 PLATINUM with Spritz Algorithm Continuous Glucose Monitoring System, PTL-901100","Withdrawn","","ProjFund-4252","FA-06735","DexCom Inc","Not Applicable","Industry","Not Awarded","Non-OGA Award","","","","",""
